Uuid,SourceFileName,SourceFilePath,SourceFileMd5,SourceFileSize,CarFileName,CarFilePath,CarFileMd5,CarFileUrl,CarFileSize,PayloadCid,PieceCid,SourceId,Deals/0/DealCid,Deals/0/MinerFid,Deals/0/StartEpoch,Deals/0/Cost,Deals/1/DealCid,Deals/1/MinerFid,Deals/1/StartEpoch,Deals/1/Cost,Deals/2/DealCid,Deals/2/MinerFid,Deals/2/StartEpoch,Deals/2/Cost,Deals/3/DealCid,Deals/3/MinerFid,Deals/3/StartEpoch,Deals/3/Cost,Deals/4/DealCid,Deals/4/MinerFid,Deals/4/StartEpoch,Deals/4/Cost,Deals/5/DealCid,Deals/5/MinerFid,Deals/5/StartEpoch,Deals/5/Cost,Deals/6/DealCid,Deals/6/MinerFid,Deals/6/StartEpoch,Deals/6/Cost,Deals/7/DealCid,Deals/7/MinerFid,Deals/7/StartEpoch,Deals/7/Cost,Deals/8/DealCid,Deals/8/MinerFid,Deals/8/StartEpoch,Deals/8/Cost,Deals/9/DealCid,Deals/9/MinerFid,Deals/9/StartEpoch,Deals/9/Cost,Deals/10/DealCid,Deals/10/MinerFid,Deals/10/StartEpoch,Deals/10/Cost,Deals/11/DealCid,Deals/11/MinerFid,Deals/11/StartEpoch,Deals/11/Cost
34c6ed0a-7523-42b4-82eb-eb8bd8c4fb64,fil-test010,fil-test010,,17180886010,QmUvCqnwQt1RwfkkqipJsHvfdXywx57E1LFgagVCioWUF7.car,QmUvCqnwQt1RwfkkqipJsHvfdXywx57E1LFgagVCioWUF7.car,,https://download.fogmetalabs.com/ipfs/QmPaLteoiuNGL4RLZyuobHixXBAb21DwyDbrYz3uDczpST,34091302912,QmUvCqnwQt1RwfkkqipJsHvfdXywx57E1LFgagVCioWUF7,baga6ea4seaqoskyntnhf3tq6hrfc6xjpvck23bxpmgnrjbbsdjyaiv2d6ktemky,2,bafyreibsqsczd3urlwxe6ok6jimaz7ovraw3lqwtw7ndug7abhliz5wt6y,f010088,2913805,,bafyreicjaxey44cvhyueamc44eos6v6admdsd2gmuh3bnbfqujok56t7ra,f01163272,2913805,,bafyreibcqxtws4hxxayq6eywzood63xrv3xiyk7dtnmqmahv6o4xyvwpy4,f01337533,2913805,,bafyreicvrwnhtxwiuel65b2oiehdz2uqeo7oxos2jyycyzykrpmqheshpi,f0143858,2913805,,bafyreie5vw47jh2nkof6iq7wubjadrzg26k7xqtuwc5rqlgku2zolw6iza,f01691327,2913805,,bafyreic3zgsyolpjps247djymcysjfpjjg2ythobasgxv23maa3544tpjq,f01862564,2913804,,bafyreifsyc37of73ph2aajwt66u6orfaaw3cchnuizbpiyujxzebdmmpku,f01862564,2913805,,bafyreiavvnqjvt2v5h3vhpynyl3xnkluojrqv5ny3r2culjbnvgvtbianq,f02032191,2913805,,bafyreigjhiypgxwupuhomirezo7gubwiv4wajujygihzfpjwygz32whj7q,f02301,2913805,,bafyreido6pz4dbqpdmbocfgah7noshjo5ib3626twud4agaw7lcvmsdpre,f0240185,2913805,,bafyreidg3dlvdemfz5gdq4j3sstpe6vhe7kzqopwckfxt6gnwlb63bl6iu,f03223,2913805,,bafyreibd7e3c5vzqt4zyg2h5p3ro3rupskta6qmonltgp6pa3apjzuoqjq,f0717969,2913805,
b2e9d726-0f28-47fd-bd1f-8e0e76016203,fil-test010,fil-test010,,17180886010,QmaDRKo93h661Pv518AF9X4KgphDb5Bn82dMPMbn94LP6Q.car,QmaDRKo93h661Pv518AF9X4KgphDb5Bn82dMPMbn94LP6Q.car,,https://download.fogmetalabs.com/ipfs/QmdtBNLqj8zohqqkDb3jABpmggFF9qjWiWhHxHhn2enTAv,34091302912,QmaDRKo93h661Pv518AF9X4KgphDb5Bn82dMPMbn94LP6Q,baga6ea4seaqcilcwvxuorer4guz3slw63zo4brvf4iozgjjgicz72xghgtnjmbi,2,bafyreidgbqffthf33doh7pt4czpysjqrqirzhd4gqizq52hpytwqhvvnaa,f010088,2913805,,bafyreiflb7zthon7xthqez2jfkmti4bdffjtcvex5b56ectw7uo43xceay,f01163272,2913805,,bafyreif4rv6wyvj7rbiahabgzslaealobtmc5ginj4qhc5utlr3ywg26wy,f01337533,2913805,,bafyreihibxinjdqbilpktznha5cwembyrxergzd5mdcmtolri73mwqv3vq,f0143858,2913805,,bafyreigvt6cl2idkurkro7oyok6bw4a6kqxp377z2z5e3gxd2ikem7wbhy,f01691327,2913805,,bafyreicj4to2i57jhr2nhfzzg4rlgsn4plejxv4g7iq3ydlkp2ichwvjza,f01862564,2913805,,bafyreidfthoud73fwnefzugdmt3yoefja5hrb5vatfvkiz5gk6fpqnd4bu,f01862564,2913805,,bafyreifclo6jqb4bt43da3wcmxn66yfee6y763cs6zhpoxrzgaiejfczem,f02032191,2913805,,bafyreia5246ve7sw432hksmangfkilihk6qf2m4uyucrvburjo6qsmzydm,f02301,2913805,,bafyreifjj4ezifgrjrcoqtpjpgtkizjszk2i4wgunzgkdjna63ytz65egu,f0240185,2913805,,bafyreich3tamjkxvvb53ijnqyjrxsy3bawlydpvwi2vkvxj2dgha4kwo3a,f0717969,2913805,,,,,
cf52bc18-6a3b-4936-8b39-a1c584656e6d,fil-test010,fil-test010,,17180886010,QmQEX3BQEXGhZL8nNXmGtoardg4v8Kq9DJy2Rj7XwfEh3y.car,QmQEX3BQEXGhZL8nNXmGtoardg4v8Kq9DJy2Rj7XwfEh3y.car,,https://download.fogmetalabs.com/ipfs/QmbnoWVgWj8ksjppvwkeH7XZstFmumtTcJ2VwrpsqnJBsz,34091302912,QmQEX3BQEXGhZL8nNXmGtoardg4v8Kq9DJy2Rj7XwfEh3y,baga6ea4seaqdmctssrxvw7vpbhksvemxexp55ds6hwo4z2yp54ntlkhydzys4gq,2,bafyreieoilg4zduw57encwnbbvcl6e3mjp3rz2wq5vofe674kbugnc26by,f010088,2913805,,bafyreigl7brepqyvpjwddgobvq32z3lob5apu26eoybcg76ivmfcuj7ysu,f01163272,2913805,,bafyreiaiyjbwucezkn3pkmge3axcres3iv32y6dwu6p2ztbf5radniqvwm,f01337533,2913805,,bafyreib6gcku6moslnyghxbnwgxesops33ll65p3vtppllgu3jsfz73ify,f0143858,2913805,,bafyreidml7uiuvx5vwprmw5bgebidsthhymqjsfg7gkiuzwkiisnb53oyy,f01862564,2913805,,bafyreiglw3v5gsaivdkqztvnxmtfobsvw3ziqebz4a2ok7xpcp6hhuyqiy,f01862564,2913805,,bafyreiey6labdlkgce3w5hkqwglbbccwokxah6ot7phw7q5ieuljvrqcou,f02032191,2913805,,bafyreih5fyahnaeuu4vvoydw5fqtvkificrm3yyqcqmsci5grqpbmrgote,f0240185,2913805,,bafyreia2rdxgmjpejk4bydfqzgxcos3hd5ilcthuozhrohlq3baaqy3jd4,f03223,2913805,,bafyreiheuacon2dniexcd5p25o7wxltibodbafirdtstgdjfps2zziib3q,f0717969,2913805,,,,,,,,,
82a18395-6e64-488b-9327-c5908b538270,fil-test010,fil-test010,,17180886010,QmfKJMKEsLXWEiCcxahdL3mUiY7B6AkGbBVVGKGi8rpT9S.car,QmfKJMKEsLXWEiCcxahdL3mUiY7B6AkGbBVVGKGi8rpT9S.car,,https://download.fogmetalabs.com/ipfs/QmbeayXjWV3FjXmeu3g9LrfS6GzvQ6r1DXTMymsn62z2Hh,34091302912,QmfKJMKEsLXWEiCcxahdL3mUiY7B6AkGbBVVGKGi8rpT9S,baga6ea4seaql6uhlfceyqmtzsuf6w7hjgt2ejyttdya4s5knyyxszhozrg4acpa,2,bafyreihhc53xseqwimvcwnjkjkv5xtpebnxb4kdpp42ghooej45t7m3kny,f010088,2913805,,bafyreifqxtumdnnk4lqjcs3nbjcnjwzbknskychvb5zsqkdyyrd6snpyqy,f01163272,2913805,,bafyreigu2sjs76ar7fcm3dw64vstuxqdz3dkxplig4sjriuhocnocfrtau,f01337533,2913805,,bafyreibke4k4rbacuylgpep5s6334qxiz4evd5yvntyxhgnlf2ez5kcr7a,f0143858,2913805,,bafyreicjo4ypeipkv5jq43h6kq64xehobmcbygh6i24ffkgdhpndtzeso4,f01862564,2913805,,bafyreifsli4loq475z47eccgwxo5x4ykkuuplttszlctbwjbvtdyzhaawe,f01862564,2913804,,bafyreie7azmzc6chnpeaprsdxmbchuoobb353qz5nji3cggzp7a4vttiym,f02032191,2913805,,bafyreifkhvq6nhjbaxu3s5voppjbjhki6md4ejfnu4suhn36ffrifiethm,f0240185,2913805,,bafyreihiq6q7vujwzsikzscmcsjkbu4ty66mjmtdlhnumdqkzrefrk4wom,f03223,2913805,,bafyreiehgt6cdnoda3pojv5pwul2t73us55zl6ltbd6o3cc23rjgg5gw44,f0717969,2913805,,,,,,,,,
6aa0ebe7-34f3-4794-b1bd-c587022bb369,fil-test010,fil-test010,,17180886010,QmRN7EVzjwoMvX7DTj36yGus9Whw7GRGNNRFBmtj1p9hjd.car,QmRN7EVzjwoMvX7DTj36yGus9Whw7GRGNNRFBmtj1p9hjd.car,,https://download.fogmetalabs.com/ipfs/QmRr1WmDBHjDpsgBajabyueMbsAKziH6xXV1Z5Evy7w6ro,34091302912,QmRN7EVzjwoMvX7DTj36yGus9Whw7GRGNNRFBmtj1p9hjd,baga6ea4seaqpcrrugxlscbrnb2fp5m6pr7x7wotblqgluiqiizt3fomrdajz4pa,2,bafyreihzshiutrz6ikcch4soeo4kicdhhcpyivbme6axujajjc3wvcejcu,f010088,2913805,,bafyreigyqpqmqhyvpci7i5vaeafmegsjmjggx6fmkt3qxjwzqopw6q4wpm,f01163272,2913805,,bafyreifi2yjb2uxkafcmgx4mtrvc2ks7pkuhvg5lnl2yl4kj7vyiwbafiy,f01337533,2913805,,bafyreibau7bfq46eahlmj7wd4zn2pajrgnykanfs2rumn3ell4yuckqode,f0143858,2913805,,bafyreibrhzcg23wfiqrcn6u7vw5bkya5rksbgbmfsyktb24vrteitixmzm,f01691327,2913805,,bafyreiaceayz475t3qcdtdfyj3ftnxev5xcbdcyjhclp4ngnnwiocrcrdm,f01862564,2913805,,bafyreiejivnz45or4qyxiv6p5mep3uxqvlti4q6j4w4l4n6gmiztahbt4i,f02032191,2913805,,bafyreiftr4iso6scrl6vqplw547gderjgyyb6kajtiqszczqpsgfwinr4e,f02301,2913805,,bafyreichez3uiiccasukda4kzjmsfdeq4umleb3en564kr4nbs6e2pfhyu,f03223,2913805,,bafyreiahulffhtbzn2elepwwtnteu4yrb5y3blhgewukdvgcqgpuq3xhii,f0717969,2913805,,,,,,,,,
9f37e722-112b-4d21-a995-0a307a86f78d,fil-test010,fil-test010,,17180886010,Qmeshd3NoucLYUxnvHgPCVcm669No8WVcdv3Q2GN4RmBst.car,Qmeshd3NoucLYUxnvHgPCVcm669No8WVcdv3Q2GN4RmBst.car,,https://download.fogmetalabs.com/ipfs/QmNumLskWU8pa1VDWsa75CqiXHbYNyX4Ke2sic5HaCD83s,34091302912,Qmeshd3NoucLYUxnvHgPCVcm669No8WVcdv3Q2GN4RmBst,baga6ea4seaqcsp3675vruz4llbb2fcbgime27o27esd4mhklyh7adr22syqbohq,2,bafyreifbty3uhjaizhg7vhh7rcqjb62wthdrgwgy75pest4g52lyhpdvqm,f010088,2913805,,bafyreifqulih7l7fdqm2ifs44fap46k2jtrkseordgjvqgjznyj2sgc7ou,f01163272,2913805,,bafyreiau4krrg2p66nfdrc66srhk5s5zydkj4rfh7yz4pql7sbpwngbimu,f01337533,2913805,,bafyreib5gzhuqyqiamek6h3kpb5msoh32siffzvnylgwogqs5biw2ciru4,f0143858,2913805,,bafyreigjmx2fnyok5k75pdghu6aznv66yi7kebg7sh7x3ffmwcfusbeoqi,f01691327,2913805,,bafyreieyttd2ptyui7y5jvptjtcfrpme3ne2ghtz2rxmwjwlyuain4icwi,f01862564,2913805,,bafyreihquottlnin7gnsrboq7yoxwdregsyef7eatnjztnt7i2226ryoeu,f01862564,2913805,,bafyreieq5xfitanuw64paggsdsbo2fmzk2s6bxhcnvhtoo5kvvguyz7j7i,f02032191,2913805,,bafyreibgmvvkxam4deo4h5ahq3wp2xjzab6hjlscwr4baayvwafv3olria,f02301,2913805,,bafyreiepuymhsquyrszb7p7s6ef7c7jnzfswwornm6onjuytihzaldghrq,f0240185,2913805,,bafyreidko6ze6war7hjqgsowvek7wvpjtzvzk2j43fzlnfmukp5b5ij3oi,f03223,2913805,,bafyreict3j34kivgnw4d7rxywuot6iuug77xkwzfinl22fogtfayjsltke,f0717969,2913805,
84232763-fbee-4015-92e3-fe54a37987a2,fil-test010,fil-test010,,17180886010,QmYfHzRceTvAHGEtNg2nLXXjscS96y6tu1T51ppj8AgdT8.car,QmYfHzRceTvAHGEtNg2nLXXjscS96y6tu1T51ppj8AgdT8.car,,https://download.fogmetalabs.com/ipfs/QmfBMzVZwMNxtA2u1N9YqjMhfNp8kWt3YHSgnaZipdt9xW,34091302912,QmYfHzRceTvAHGEtNg2nLXXjscS96y6tu1T51ppj8AgdT8,baga6ea4seaqple2oydh4iihz2kvm7zqf6z3ikjuu23mrdj3ruuxnwq3zf3sjcga,2,bafyreidlsqlzu6tfei64g4432ny5gpiw2di3iqvwt6b6sn6ssxa32y2vqy,f010088,2913805,,bafyreih5ow245tdmglvsor7wq7ytqrhpyjpbnck7bi3ncuxuabrx5vtnhe,f01163272,2913805,,bafyreieceizgz7upnc6xcscth3ixeshnkdz4jfn4k6rphbszqquhaltrme,f01337533,2913805,,bafyreibki3djdrttkjktjbmkgtebhrmku6v5k3nwy3t53cqfedwkx75c7u,f0143858,2913805,,bafyreid7goydohdpqlnizlk7aai6bbqq6yz2gpmgd2nj7i4jbcvf3tnxkq,f01691327,2913805,,bafyreiakgzztchxb72jr33agbo3pkkayvotqqbx7xxz4en5mae77arpzg4,f01862564,2913805,,bafyreidkjde4f5wugn77u6bumtzihfab2hnmb42s2h3g5zyqfo5u3vxcgi,f01862564,2913805,,bafyreifrvdx2zycqlqjxwagnpc46gb737ieybuxopbjwoykeqeotaoe5ui,f02032191,2913805,,bafyreicnznlblszjq4cj6qzqyqddd3kn2eemnafz4cuvnotczzegzawdjq,f02301,2913805,,bafyreidpfqkprznjsfmu6xshliajqvsg4kzyaircefbkaklyvrvhnx7vpm,f0240185,2913805,,bafyreib6y5zwo6xo4qeflvy64mukmb7ywodlkd77ple2tkdj3u7j2nxxzu,f03223,2913805,,bafyreic4wxcmz6xeybv6dwp7kwn37uduqwrh4csoa4ahobn47kmyu2xfei,f0717969,2913805,
4e6231e1-708c-4106-aec3-cf87b903557a,fil-test010,fil-test010,,17180886010,QmeqSyfu3TYzabpV8C9HLNFcBPyVxgtaHfEo4H7CPNPgyF.car,QmeqSyfu3TYzabpV8C9HLNFcBPyVxgtaHfEo4H7CPNPgyF.car,,https://download.fogmetalabs.com/ipfs/QmarohF65mXAZqtjxaeSNoTq23gWSuAckJGCBRtyJmJJcL,34091302912,QmeqSyfu3TYzabpV8C9HLNFcBPyVxgtaHfEo4H7CPNPgyF,baga6ea4seaqm7yppu2cioo53hmhc5f5j2npnnvdukolsxvdrqjxgw6qbt7ybsjy,2,bafyreidcql4jmxzpsgxhg5xerasrsyc7fouqovd2p6u4dtgz67sxj5xdx4,f010088,2913805,,bafyreieacxgy2anj7hejt27ohhjytn6cdnqnrw6p3u3wltljnvpt7ubeam,f01163272,2913805,,bafyreicwadttrcrawzv76db7465hehqvxiwqv6ds7xcrkpmxdiy6hxnzpe,f01337533,2913805,,bafyreifengllbvopxwwjj2vybs7cljx7mygihiezkeovxx4ybhzmgyialq,f0143858,2913805,,bafyreiep3d2vo6efpnfsrxv4a4zhxfxhrdlqnaak6ymkzawjaia5zsoqgm,f01862564,2913805,,bafyreig2bqzhvxlnnkjqw4mnlm4gz5hubirfi5dpb77dg4ajdt7wvzagm4,f01862564,2913804,,bafyreieuaec2u5fjamawqd63xlza2l5yqlxcvfb6ni7rto26uabz4ggbsu,f02032191,2913805,,bafyreia3w2vpkxugu2cwrrsyqs23y43sxnjjtvwvl3owkege5z2zmnuogq,f02301,2913805,,bafyreiebpezm6tr6fbytakefshhtqs46zd4djxxjgafg3jw3n5dijqlsf4,f0240185,2913805,,bafyreiciha2ac7nmhdrjsgxnluvu32amykgbf5oxnfhec6a7dha6jvp2we,f03223,2913805,,bafyreihrypgkxpobbhcvssjbijnhvwoefusi7sflbndgghmhj7lurom3nq,f0717969,2913805,,,,,
55004553-a7d8-4fc5-9a9d-b0c11c50c103,fil-test010,fil-test010,,11992651954,QmevRQYgv5sE7RaS4Mr4gyzJHhXu74puAnpXA6cd487NUw.car,QmevRQYgv5sE7RaS4Mr4gyzJHhXu74puAnpXA6cd487NUw.car,,https://download.fogmetalabs.com/ipfs/QmUXRLPZ7cENCHd4urUmBS1Ny8L1CLXL4JQo62crA4o14i,17045651456,QmevRQYgv5sE7RaS4Mr4gyzJHhXu74puAnpXA6cd487NUw,baga6ea4seaql63zh4i5bicljdqtz5nrwpq7wuai4b52kbqkpmxiabpismw4bchq,2,bafyreic42uqxrxtjgp3rl3akzttff3npyz3hndwjtfeiocwdqgt5wpu76i,f010088,2913805,,bafyreickl4j3oqdcd3mkkqvwsrljtwuoyifq3im75uwwynykgm7qozg2di,f01163272,2913805,,bafyreifwokgzg7sj3notxsqndmuhaz7vesq56tmlfzjotgzrql3ektcvqq,f01337533,2913805,,bafyreif2wqh5tbnwdgryepqkvmgxxw7smbstapknkkibqfygaa3i25czo4,f0143858,2913805,,bafyreihtzdknnnu7up5stviaxlwhwv6u2bnnxki7e3vhdmkemw3nsn4fha,f01691327,2913805,,bafyreicbsghx2r7eypxp6ig62ctj7japmvwb6cjb6xc6nvst7km65wemfy,f01862564,2913804,,bafyreidgfax7tha7rl7fnogvtcgtbz5cqekwsuyjovkwcoc23vvfipvpgq,f01862564,2913805,,bafyreietvjhonr3apf2rebyhfgyekbwtgi42mkz5n5h774ev2egyftrntq,f02032191,2913805,,bafyreiduvmuh7v76q544ob6b7atuli2mftahvi37agkqz4fpuj6kgxzx2a,f02301,2913805,,bafyreiapo3zmcdv2khrr5gounfwpy2e4fdhiic25bdpk47gnqzdvdnqdti,f0240185,2913805,,bafyreigaoh37ymkqwwvxrfgg2ion4hyygnlohletf4b3ztbst6qcpco5oq,f03223,2913805,,bafyreiheqyw5xvo2teyite5qnfzsydhgcyobdsqzpyljskocmcks4y57uu,f0717969,2913805,

