Uuid,SourceFileName,SourceFilePath,SourceFileMd5,SourceFileSize,CarFileName,CarFilePath,CarFileMd5,CarFileUrl,CarFileSize,PayloadCid,PieceCid,SourceId,Deals/0/DealCid,Deals/0/MinerFid,Deals/0/StartEpoch,Deals/0/Cost,Deals/1/DealCid,Deals/1/MinerFid,Deals/1/StartEpoch,Deals/1/Cost,Deals/2/DealCid,Deals/2/MinerFid,Deals/2/StartEpoch,Deals/2/Cost,Deals/3/DealCid,Deals/3/MinerFid,Deals/3/StartEpoch,Deals/3/Cost,Deals/4/DealCid,Deals/4/MinerFid,Deals/4/StartEpoch,Deals/4/Cost,Deals/5/DealCid,Deals/5/MinerFid,Deals/5/StartEpoch,Deals/5/Cost,Deals/6/DealCid,Deals/6/MinerFid,Deals/6/StartEpoch,Deals/6/Cost,Deals/7/DealCid,Deals/7/MinerFid,Deals/7/StartEpoch,Deals/7/Cost,Deals/8/DealCid,Deals/8/MinerFid,Deals/8/StartEpoch,Deals/8/Cost,Deals/9/DealCid,Deals/9/MinerFid,Deals/9/StartEpoch,Deals/9/Cost,Deals/10/DealCid,Deals/10/MinerFid,Deals/10/StartEpoch,Deals/10/Cost,Deals/11/DealCid,Deals/11/MinerFid,Deals/11/StartEpoch,Deals/11/Cost,Deals/12/DealCid,Deals/12/MinerFid,Deals/12/StartEpoch,Deals/12/Cost,Deals/13/DealCid,Deals/13/MinerFid,Deals/13/StartEpoch,Deals/13/Cost,Deals/14/DealCid,Deals/14/MinerFid,Deals/14/StartEpoch,Deals/14/Cost,Deals/15/DealCid,Deals/15/MinerFid,Deals/15/StartEpoch,Deals/15/Cost,Deals/16/DealCid,Deals/16/MinerFid,Deals/16/StartEpoch,Deals/16/Cost,Deals/17/DealCid,Deals/17/MinerFid,Deals/17/StartEpoch,Deals/17/Cost,Deals/18/DealCid,Deals/18/MinerFid,Deals/18/StartEpoch,Deals/18/Cost,Deals/19/DealCid,Deals/19/MinerFid,Deals/19/StartEpoch,Deals/19/Cost,Deals/20/DealCid,Deals/20/MinerFid,Deals/20/StartEpoch,Deals/20/Cost,Deals/21/DealCid,Deals/21/MinerFid,Deals/21/StartEpoch,Deals/21/Cost,Deals/22/DealCid,Deals/22/MinerFid,Deals/22/StartEpoch,Deals/22/Cost,Deals/23/DealCid,Deals/23/MinerFid,Deals/23/StartEpoch,Deals/23/Cost
d26cab00-9180-4f1e-9c2b-e6ee20871886,fil-test010,fil-test010,,17180886010,QmR3SJY7HjjQFNpWXHTRdAqwzutkawp8CEVQzFu6SuDBjY.car,QmR3SJY7HjjQFNpWXHTRdAqwzutkawp8CEVQzFu6SuDBjY.car,,http://download2.storefrontiers.cn/ipfs/QmVZ6N3iwo9xUxUWSkHfheC9aGmQz9cAfwchS389fwpiG3,34091302912,QmR3SJY7HjjQFNpWXHTRdAqwzutkawp8CEVQzFu6SuDBjY,baga6ea4seaqcybrr6pgqe5psvyhpvt45o4j4qbh4nbksacqc3njxagnvh5ofcoy,2,bafyreieps4tpd3e5nmngcwfogbjgz4nc2gt3hmjfz6t3t2tbzzahjsg2d4,f01222595,2884952,,bafyreievvnbocuqoaqzt4tuy3auxr2knovjymrckjfmg47ouv7jrefxb5m,f01225882,2884952,,bafyreifr356s22pjpwszlogsyj5e2omgiaxtkhdkcdgx5p7kwcj32k3nxi,f01337533,2884952,,bafyreiazvrywtsmeejypb2pmscpklyprz4nfpbnvldaki7etdkq33nfrs4,f0143858,2884952,,bafyreid2overrnskoep647jo6ow2r5raw7xywyif3vhvvhq3vafadxjlei,f01861488,2884952,,bafyreic552zx3376w2rjuvnukrl4v4aueip6e4nzlhqopriatlnsedvr5y,f0187709,2884952,,bafyreicimcdfijvtrs5evidcfzaser6pceubtahro2jiy3ntqqclnamtx4,f02032191,2884952,,bafyreifrsjqjhm7u57dpzyrgxbtcekh5ulmgee6ynh73bb77fw5264e5pq,f02301,2884952,,bafyreibe4savtnyhfj3troromy5qemd5hifqse75ibu33j6z2ysadavm24,f0240185,2884952,,bafyreidxqbiywnvrjdxmr4oddpp5twaljv4jx4n7rsqatkwt5z4el373oa,f0717969,2884952,,bafyreicy5w6eztb4pjayrzoxn54akvcvanz6tkow3hr3zzm5qazim5i3sm,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b4a24e6-14fc-47bd-b202-9d2da8e7f9a1,fil-test010,fil-test010,,17180886010,Qme6GYU8FutAsTLokdpLueZWBHSTBw6qVBRgwDLkvGR3yD.car,Qme6GYU8FutAsTLokdpLueZWBHSTBw6qVBRgwDLkvGR3yD.car,,http://download2.storefrontiers.cn/ipfs/QmPxZDfqHkpgxxcQuJ61gQFXd5BEVMHqeEZo3AwNp8DcVs,34091302912,Qme6GYU8FutAsTLokdpLueZWBHSTBw6qVBRgwDLkvGR3yD,baga6ea4seaqdpqtmbqiqyj4zy364thknn35zjfjuyikjye4er2rijjl44k75sda,2,bafyreifuu2xqsdj5utxfocn3fxakcxh7egxja5nc4bxmhbx7hgv2cadj5m,f01222595,2884952,,bafyreihbm7qdwe4wfbe3qwt27i6grtpuoyh5ha4bbt3tnjg4lkjplhysle,f01225882,2884952,,bafyreibvyrluogvo37s2lrzofbps4j7yptwiwaf4kp6mocirfyfj356c5i,f01337533,2884952,,bafyreiby25q7snyen627dslefrbdtw4333wumj6bgpqz3r7kdapma73jfq,f0143858,2884952,,bafyreih2rd5yzeopbjv3yhcckybrsidaewjy7i46z2p2btynashj4qobp4,f0187709,2884952,,bafyreiarmjjz3fegrfqd57zjekakfsoq37a6h64uzdwmhcnqvp4ifav5g4,f01888808,2884952,,bafyreie3bzfd64nmokqipwruhjxughkkxdvq7kkkrvlwkqbq72356elesy,f02032191,2884952,,bafyreifj36tlbh4ikjmu2fl4yhwslezthds22hgybohtnl6joobkphqn7e,f02301,2884952,,bafyreibdm5ofvk6djhy6un5qqxptgujfnsyswk25j5kptn3mftzgznwx3e,f0240185,2884952,,bafyreibobmehf3mgtexqoawjs4ehzghqsgcenzk2nn6egfmt5tlh3lo5sq,f03223,2884952,,bafyreiagt4ta564qhbqtwe4euqe5pfr275vx6mwe46h2qnpofhipgxadha,f0717969,2884952,,bafyreiez76yxubip3yvnjgvorpbrtikdk3mtnfvcyo6vvyuiof3jcj4kwm,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc5edd45-b2fa-4682-9fc9-b607b1344e67,fil-test010,fil-test010,,17180886010,QmT2SKK1na9nUgvu73uhaoc44G4opET7iXqJDYPX6GtRmy.car,QmT2SKK1na9nUgvu73uhaoc44G4opET7iXqJDYPX6GtRmy.car,,http://download2.storefrontiers.cn/ipfs/QmSJQyxf9wka83qTzFTsQzwybLg6beEa7Bffx94kFxAEzL,34091302912,QmT2SKK1na9nUgvu73uhaoc44G4opET7iXqJDYPX6GtRmy,baga6ea4seaqockbhm5jihteddftmlyjdaiz3xotyvfr3dsfaz5mvsefxn6bswja,2,bafyreifchlzmf3f2pqcu72k6uqf33xsu5f7my3c5lb4mf2kvbxz7luorbe,f01222595,2884952,,bafyreigo452obd7kuv3fc7d56xme555sph5gn4xwlvupedtqzgnx3u7lq4,f01337533,2884952,,bafyreifcqfi526th72xs7tob5wbgzbyq5msvtrvnmi5vruiawg3rodmcdq,f0143858,2884952,,bafyreieua4rws7m5yr6mdrjftjf67gzcaken3yujgmvz52eq2x3zioxkei,f01861488,2884952,,bafyreiaprnmo3jiynbu7ts254wyhhfulgjawcj7dp5r6ae3xh4hnriakka,f0187709,2884952,,bafyreifsr66etd4ejzdh5klv3ozk6ygkoy4jzhnffywzvtycmhy3j6gjp4,f01888808,2884952,,bafyreic7k5lmahkqt7crb4dq52tgni6cdio46td4ciwkfcaf3fkgvvmvpu,f02032191,2884952,,bafyreie4l2oo65it24i5bf3shwphmtwmtgw4bto73ggghvftjbehgik6zu,f02301,2884952,,bafyreifz5g7oifsfpcy4y2xsii2r6optpufbkanfvra6tqel4txlca6gcm,f0240185,2884952,,bafyreihfwej5ozb6sg4mhl7hk6dpnru5x2fjkziviv4oigh7wazmbnouwq,f03223,2884952,,bafyreiaiigv24byjcvbvjufhpk57ldsikzgmcaudgtavtypc3ku3dsgdfm,f0717969,2884952,,bafyreidyg2lypwlakqv2lcc5uuydpgiefuzqvxv7zbh263uptbv3n7rx7a,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4818684-91bd-4b0f-9849-da0717762dd9,fil-test010,fil-test010,,17180886010,QmVbs4ZxMScwR2GE1z71DE1sH4qLoqjFypQJrK1tfd2nmr.car,QmVbs4ZxMScwR2GE1z71DE1sH4qLoqjFypQJrK1tfd2nmr.car,,http://download2.storefrontiers.cn/ipfs/QmdCjNNekBGtAmWZZS6KrSWHq6jeDBUigKTmZNKgSFfyXH,34091302912,QmVbs4ZxMScwR2GE1z71DE1sH4qLoqjFypQJrK1tfd2nmr,baga6ea4seaqdckapumsaucdpm7levonc4mp52f3hb445oga4gxxgps2dv3itgmq,2,bafyreiavh4ysmpnfvm6r3zldkxxl7vv3zo7fxlj4akarqv4zpjdjh3stzi,f01222595,2884952,,bafyreifkm4clzcf7pcmt4aemrui4qcaktmrpbuxnfwhezmghspp5xzp57m,f01337533,2884952,,bafyreibg7nc7pyuxtcgji35gah5rgd3vbq4iwcawrtmeb74zlpt3lvjy6m,f0143858,2884952,,bafyreidjjgo2bxlyblbxq2jbfjmfxqmjtgjkej3nq6np3qiikqfo5n6yda,f01861488,2884952,,bafyreifj4zs72lqyncvi5g2q6avg4y3wongiwrlvu7zrxnf7qxxvs4ye2a,f0187709,2884952,,bafyreiachjmisplmzk4on7lafdtzxxzsujxvkamy6fwidxlat3kt2f2gae,f01888808,2884952,,bafyreidvk6zumeuaidgjtwwhx2c72mi4lnynln6q7wfvf3gjld47mwumt4,f02032191,2884952,,bafyreibxxdtx7uudogk2c2rrjdfqcuaqm47mtwcjg6xebzdnnpfsucuubu,f02301,2884952,,bafyreia3pixmom4cmxqbe3svzmnqhqzfzoultdv3qdliwqpubvawbh6umq,f0240185,2884952,,bafyreid2xpdfxhjj2dhadwcqnnzrbe6qthzimbadtu3upxhksbamqkboui,f03223,2884952,,bafyreih4mti6a2bcvc4n7diefnyj3kvphi6etjcwb5j2tysfjmipt6u4zq,f0717969,2884952,,bafyreigbt3w6asuojfhrimfrywhddlh2nq6uzjpw3fmznbyrts4k5jdlxi,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a528b0b5-ea62-4c4d-959d-108277bdcacc,fil-test010,fil-test010,,17180886010,QmetkdhQarRhTnVRPd9GMge951wEGdjCQrz4eorFFi5Rvh.car,QmetkdhQarRhTnVRPd9GMge951wEGdjCQrz4eorFFi5Rvh.car,,http://download2.storefrontiers.cn/ipfs/QmcxCw5mra2TU9oJesq6SB8HCMtdYJTmkV2gBmpemrXQH2,34091302912,QmetkdhQarRhTnVRPd9GMge951wEGdjCQrz4eorFFi5Rvh,baga6ea4seaqozj3xdt5prookdyogvleenrxj6z7qkfqnsrxm3p6hww24lj6bohq,2,bafyreibhq6h43zn5uiuxg5s3wrwdvghw4ktgsr6gj6azyozkazveuselte,f01222595,2884952,,bafyreiedbctnujxcqyv5ee3f6y2txfvcwwxnmyuqhewbjmmm3omy4t56mq,f01225882,2884952,,bafyreiedr5j63tnuyvk45mc47yu4euykln7ozs63sqzu4iuhesciyeqwku,f01337533,2884952,,bafyreibwx3dul33komp22g2vhn7wntra43p7pzalwxcknzr3i32omk65he,f0143858,2884952,,bafyreiggfq2qagl4ylpqikib54h6nxqsdofvaqhoqfi4z74le6uzi3pbvi,f01861488,2884952,,bafyreibpmml4mwfudof3ha3qfez7vxo6ffpi3ivrg6vcgvwifs7gn3oqza,f0187709,2884952,,bafyreiagvknwr7ucedaqjtxdidk3y3ucuq5bqyccmfgwvsizlwouknzo3u,f02032191,2884952,,bafyreiddgvuxorswzvua5i5bcechmqt2dpanbjz2plorqvbt6vxxw5hm3q,f02301,2884952,,bafyreibyoffk5m2tvdjbtouzhzaof3razvxvnndrvdigdx53dwryyfr4cq,f0240185,2884952,,bafyreigfxywvxda2k2i4pu6p4zmokaglvc5mwwto7ipc4czz6uj3yn5dhe,f03223,2884952,,bafyreicw37lxugfo3fb4o476zyf6l2ba4gui37yq7empkelhupdyxvd5la,f0717969,2884952,,bafyreieueq5fpfv5yxo4pwkmqf74piqr3z6xn3kiqtosyndm67erwuoudy,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e7ac8f7-d867-444a-baef-7361cb1caf6c,fil-test010,fil-test010,,17180886010,QmfP8WT2mabUTyLeXz1tyqbunMmuBRQKbb6y5tRjfhyC7r.car,QmfP8WT2mabUTyLeXz1tyqbunMmuBRQKbb6y5tRjfhyC7r.car,,http://download2.storefrontiers.cn/ipfs/Qmb8u3mPUn3qgtwqBRrCJBxToVXGwiioiHaapGnjoaRMCa,34091302912,QmfP8WT2mabUTyLeXz1tyqbunMmuBRQKbb6y5tRjfhyC7r,baga6ea4seaqgqvlo75cb3quehayk57bhsu5lwlcszzfzvufiznidy6z5giwtykq,2,bafyreidtxnx3tgq5c4p6oldctdhk6fsodg2vfh3crjzimbkzaax3q73zo4,f01222595,2884952,,bafyreia7xs575ue2wbqse5oyvgln56ajgext5std4lte3xjkmk3zcvlxju,f01225882,2884952,,bafyreigksnacl4hc4nrvc4wcynn5jclrqieu6l4myq5corkbsfmozw7g5i,f01337533,2884952,,bafyreihoa7s4ztjyivm5fspgb6yueie5wdm6c333bmeef3o5enivilbhae,f0143858,2884952,,bafyreigtkc6jzh55zs3lmvcdyc5lbc4j3ds2a7id5fji46ruq2vp4zuczq,f0187709,2884952,,bafyreifcslvcbnveyxcv5zftjpvut4hdrc74eboh2cckvwaqgmcew7lzze,f01888808,2884952,,bafyreiekohuumni6urmtvrl3tgumrimatz7cepuy2ox6fphpe7jbqyhjz4,f02032191,2884952,,bafyreidppwvg3gm7tawfppypsakkqxmz4iu6yshppgv3755k4wv6mmh6ma,f02301,2884952,,bafyreifefzy45avb2dkw3majad33e5idpd5ugxpd6jel3l5bn3di35y5ny,f0240185,2884952,,bafyreidtjxayz37r5bu3c335gzuuls5ljlgc34fs4hhwvgqrgsdxcpfn6m,f03223,2884952,,bafyreiejjc5eirgnrje6ldtt4fupwmfzjshbmhgqd37jnpv4tlgb24va7i,f0717969,2884952,,bafyreidtv42pluzsufpv56d2na7uozzgopa4oizqfvtywgpozxqbzrwtp4,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7b057610-0722-472e-849b-7b5c3087fab0,fil-test010,fil-test010,,17180886010,QmPFe49kLRmX9c1hnP9B91MJsfw5Cu27xrF3fsuFLaQYpy.car,QmPFe49kLRmX9c1hnP9B91MJsfw5Cu27xrF3fsuFLaQYpy.car,,http://download2.storefrontiers.cn/ipfs/QmXpdfomdvXaPfk4eTe78j5eCeuV9eRCwyRZjDJDMRdVhZ,34091302912,QmPFe49kLRmX9c1hnP9B91MJsfw5Cu27xrF3fsuFLaQYpy,baga6ea4seaqhdgqndks6a6f3nhyfzagq66xmp5ldebaoy2uyg2xp7ay47p6hacq,2,bafyreihng3qfvbtysqol4kdizj7hxnnlbyw4mk4lz5yujl2drpysua2mf4,f01222595,2884952,,bafyreiektabz7l54oaq6wbkzzemd5ddudpfpktv53sloi5hm3rlmgyqbay,f01337533,2884952,,bafyreiatrgbwnzet55toioovwomeruf3cpsa6i535qwbodxd3heijmvygq,f0143858,2884952,,bafyreidg4z4vmux2y3zpv4vys5hx73kuaxm2idgipw4kdombxv4ig45cj4,f0187709,2884952,,bafyreidiosz4olfq5x6sjk4uo26tv66iu26vfotli442dbrvektjtzml5m,f01888808,2884952,,bafyreieylmqyo4o26ynznkil6muk4uo2fdibjtkxgmcm3u2sbwl7cxg3cq,f02032191,2884952,,bafyreiaf6cpja5jayldlnvrhsnclxp3d3ywbhma6yaaksnjtrz3uvaiqky,f02301,2884952,,bafyreial3gkpqgvm3ep6sfpu2rr5h537st5xm6ogdmzzlpnyvw32vcq37m,f0240185,2884952,,bafyreiaesr7gebfqgdusy7efg5u4kvivrwrvf4ugbafs7mgeenosuzv62i,f03223,2884952,,bafyreidwmtoowto4fhdulon27duv7bdeagwdxofz4iezihjvsf5l56usvy,f0717969,2884952,,bafyreida6vqk7wxn4mnvk5crmwk2fy7cxxt4xdh7fvnzvlm2xq2qhgnx3q,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7a79bd3-ee90-4d51-9509-2d6ead4a7ba6,fil-test010,fil-test010,,17180886010,QmYZ3FPfZTBL1z9L1TA74nFqRheVzPSumksPwHqknrHT2b.car,QmYZ3FPfZTBL1z9L1TA74nFqRheVzPSumksPwHqknrHT2b.car,,http://download2.storefrontiers.cn/ipfs/QmTRc2fWHpB9qx32gyz4Uk7gtbwemgdsRfKpgTfqfMh4BK,34091302912,QmYZ3FPfZTBL1z9L1TA74nFqRheVzPSumksPwHqknrHT2b,baga6ea4seaqpmji3225zf6nuv2iyiernb2nveng4mdxus5kq6yws62v7qoduymq,2,bafyreibri5yjd2s45jrnbmfodq2fn4idbrxi5qko4utwjwl5a4wkcm43sq,f01222595,2884952,,bafyreigwz4dnklxnkwruchnxdeawtjl52mmn37iqkn6i3n4ejil6oru7bq,f01225882,2884952,,bafyreibts2t56sgstdelpqo34lc3ptelqhhk4en2ada4v4ykyheaxydz7u,f01337533,2884952,,bafyreiecpl5tf4fzmekgs7no3h4dmg747xxkbubp65s5hsn5oefucqfjbi,f0143858,2884952,,bafyreidecqxdumauvspe2blgycvrnmvpu56qxcoj3gzdngq4b6izmyzwyy,f0187709,2884952,,bafyreid7idug4n533bpcpsgvjish5hj44cdbdmlbuawlf5wofmcdasw2we,f01888808,2884952,,bafyreid76htarakfeixkld7edwy3rwtr6hibnx6vvtck2kixmpltxpvmga,f02032191,2884952,,bafyreicadm3z3zfezuut6qj2xcubb6zjno5id6z34jsdothyohhzkrhuke,f02301,2884952,,bafyreifm5to6jj2daft77nkkf7v73tem4kmrjb2ulfuywsexebemxy7vqa,f0240185,2884952,,bafyreih3j5no7xtel77dqoeekdzbigmdf7g6463ol2xuupomlatlgmt6uq,f0717969,2884952,,bafyreicaqpynfibo3aoivqxexi45motpr5iqxhwvfdm4kjoahlgi7m2tme,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c82faf1-58d6-408f-b056-281c6053e960,fil-test010,fil-test010,,17180886010,QmP4sg7r5NBu6DynA4HGNYQqiFXzoH36Zd88UgLStaLyup.car,QmP4sg7r5NBu6DynA4HGNYQqiFXzoH36Zd88UgLStaLyup.car,,http://download2.storefrontiers.cn/ipfs/QmTKqX89fTBaL2dPwbfZ2dXRzM1UujP4v1E1v2wmjk2JNw,34091302912,QmP4sg7r5NBu6DynA4HGNYQqiFXzoH36Zd88UgLStaLyup,baga6ea4seaqleykmkwpzf4lgnpwm67rpnjqick7laealdnmgvp7kcfavhvif6ma,2,bafyreia2y5ayebibtlmui5txue2sfmiubwxnum67uit6ub32t36dz2mvgu,f01222595,2884952,,bafyreig7hkuir7a3qb4g4qd54oa6233lgzb636pzk2436u6n7f7jwlljp4,f01337533,2884952,,bafyreiermaiu2yvjblxekrycp4t7l7x3oafq67tjys3fcl5pejc4h54zum,f0143858,2884952,,bafyreibp5sdgdph2e2jn7a5hy2z7nvqbvzbf2l4dc64wammv7afilcc4oa,f0187709,2884952,,bafyreifjkbhdxy2alsu6lkzyx3kfrctue72c5c7xtbr7um2wmcxkxi2esa,f01888808,2884952,,bafyreig7h4zshqhmqkwebcviq5oizz4zua75w2nvpyjoiwbsvmixldgruu,f02032191,2884952,,bafyreib3jm6me7bwj7me67jeumsrclafg7fsy6yznzauvgdh7g7vd5ix4e,f02301,2884952,,bafyreicgod6hd76uadrqgg4h3bgugzw5rqh7fllzbcmrehsyc7asqoecca,f0240185,2884952,,bafyreib7rph4g7wb75kvniwjqnsxdippdg6pqr6ntlsjqpiqhv344rjyoy,f03223,2884952,,bafyreiaek6fgomeznp6id7hfm5rwa2jwn4dimpgnakmscpfvffikqzaige,f0717969,2884952,,bafyreide2nfgcwa6npkgmf7vnlksb3vsbr2ipi6bh5gvsi5v2nqcwd5nrq,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f6f7d74-f000-481d-b79f-7754f1dc2d52,fil-test010,fil-test010,,17180886010,QmZsVKt7TxUpRgeGqBqLTEpNqzoePfsGZJs5UYkYXVF3W1.car,QmZsVKt7TxUpRgeGqBqLTEpNqzoePfsGZJs5UYkYXVF3W1.car,,http://download2.storefrontiers.cn/ipfs/QmUZGHpZLHQaXWGEm15TeubB6sRL3Emm2KLPVsdQ5Sekgt,34091302912,QmZsVKt7TxUpRgeGqBqLTEpNqzoePfsGZJs5UYkYXVF3W1,baga6ea4seaqhccklr5vsgvbce2cn7fxpev4i76cow7llu7adrxcnf2n2ei4tqjy,2,bafyreidfhhmqqfe65rcnzzexijtzj7n4xby2nnbjq4wg5ooebwqfnvwflu,f01222595,2884952,,bafyreif43mlq77v7zxcggkvzhy26s5yqlb73cxdj6gqjpoketasaf2ipkq,f01225882,2884952,,bafyreigwwnzwxvsp2l5wuvy2yaamsqyoluwesyi22gcahpn56wad2mwtma,f01337533,2884952,,bafyreibh5xcb73lm6rwnp45peaufa5lhevzbxtjp3426go2xkzjnjdkjui,f0143858,2884952,,bafyreihweau7yrcte32mlxzuwgjov5pnb3pfatxlnk5oy4n6hwetknu4kq,f0187709,2884952,,bafyreif5jokbx7a2nfbvle2aynkqkzvikn57odkh7lxj5knww4dje6nwyy,f01888808,2884952,,bafyreigppdsuvz4ilxso4s3tuho3f7lpdyhzbtyvnkq54tminqeqx2jgwu,f02032191,2884952,,bafyreiapy2szflfdmbwlttqhf7gadkrzexsrtamky3kwtamfmv7womgnaa,f02301,2884952,,bafyreicsw3texh7jlx7pvp6btsi5jy7rfzbsvhirpncfi4gezfjsf5g2lm,f0240185,2884952,,bafyreigbxnjl3ppurk26jzv3ty7jf7tvvuw5tmnr362p6ty6poh2kupx2a,f03223,2884952,,bafyreiexzxbq36qxzknxztedohlrsvtzam6q3u5bvtkid74maq2ptqvnba,f0717969,2884952,,bafyreia4d4wejmy7chmwxxm2pdtg5t6wfhb2ybir2jz3dalgetv5nvbuki,f08399,2884952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
