uuid,source_file_name,source_file_path,source_file_md5,source_file_size,car_file_name,car_file_path,car_file_md5,car_file_url,car_file_size,pay_load_cid,piece_cid,start_epoch,source_id,deals
,complete_chain_with_finality_stateroots_latest.car.00000000,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000000,,17180886010,QmdRSsvHAkY7AWhYkwgEa7a3UKxipDFumGFybR54Bg4RKD.car,/f1/dataset/f_car1/QmdRSsvHAkY7AWhYkwgEa7a3UKxipDFumGFybR54Bg4RKD.car,,QmdRSsvHAkY7AWhYkwgEa7a3UKxipDFumGFybR54Bg4RKD.car,34091302912,QmdRSsvHAkY7AWhYkwgEa7a3UKxipDFumGFybR54Bg4RKD,baga6ea4seaqepqutx5y2mlsl3o7yoavxxndgfszlp6slpl7se4vp2gydgraaeoy,,,
,complete_chain_with_finality_stateroots_latest.car.00000001,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000001,,17180886010,QmU2BoMwyYLTCCa7n912EEt7gh7FHZa8UjMzNNznjRcL3Z.car,/f1/dataset/f_car1/QmU2BoMwyYLTCCa7n912EEt7gh7FHZa8UjMzNNznjRcL3Z.car,,QmU2BoMwyYLTCCa7n912EEt7gh7FHZa8UjMzNNznjRcL3Z.car,34091302912,QmU2BoMwyYLTCCa7n912EEt7gh7FHZa8UjMzNNznjRcL3Z,baga6ea4seaqcf5bngq46hpcqbtr4aa5z4rf6q2ntc425grspec6jp4mbgmw3kjq,,,
,complete_chain_with_finality_stateroots_latest.car.00000002,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000002,,17180886010,Qma2JSSDXG6TwUtc3N4GHii6MJD5irj7Zhz8sDVjGYNR8p.car,/f1/dataset/f_car1/Qma2JSSDXG6TwUtc3N4GHii6MJD5irj7Zhz8sDVjGYNR8p.car,,Qma2JSSDXG6TwUtc3N4GHii6MJD5irj7Zhz8sDVjGYNR8p.car,34091302912,Qma2JSSDXG6TwUtc3N4GHii6MJD5irj7Zhz8sDVjGYNR8p,baga6ea4seaqg5tmoqj5apaawdaioumd5dbevdxfir7lvj5njacfqae5efke3wpy,,,
,complete_chain_with_finality_stateroots_latest.car.00000003,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000003,,17180886010,QmfTNWQhMNm7wpxydjLqpdzHCggydsKfn8Fj4QgY447nLL.car,/f1/dataset/f_car1/QmfTNWQhMNm7wpxydjLqpdzHCggydsKfn8Fj4QgY447nLL.car,,QmfTNWQhMNm7wpxydjLqpdzHCggydsKfn8Fj4QgY447nLL.car,34091302912,QmfTNWQhMNm7wpxydjLqpdzHCggydsKfn8Fj4QgY447nLL,baga6ea4seaqko776o7ijeysbkvzb7ie6c65drq76aqbpjs7325pi5f2tvmpsabi,,,
,complete_chain_with_finality_stateroots_latest.car.00000004,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000004,,17180886010,QmdvSj7J8DHru3keX2MSyyCfJfSXuXdpacRWZxY1wvH7mi.car,/f1/dataset/f_car1/QmdvSj7J8DHru3keX2MSyyCfJfSXuXdpacRWZxY1wvH7mi.car,,QmdvSj7J8DHru3keX2MSyyCfJfSXuXdpacRWZxY1wvH7mi.car,34091302912,QmdvSj7J8DHru3keX2MSyyCfJfSXuXdpacRWZxY1wvH7mi,baga6ea4seaqcsoatlqrr7mr4mckoyammgbytq7nrjlo6dti2nn2orybxpd64kaq,,,
,complete_chain_with_finality_stateroots_latest.car.00000005,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000005,,17180886010,QmRW7F4Mnh9R9s5zULxQ9poKG9Npcb7DgLLhcDpUPmbWGT.car,/f1/dataset/f_car1/QmRW7F4Mnh9R9s5zULxQ9poKG9Npcb7DgLLhcDpUPmbWGT.car,,QmRW7F4Mnh9R9s5zULxQ9poKG9Npcb7DgLLhcDpUPmbWGT.car,34091302912,QmRW7F4Mnh9R9s5zULxQ9poKG9Npcb7DgLLhcDpUPmbWGT,baga6ea4seaqiipeis4l7z4qjxknwgo3ugxht3vphaahhjewv3jzaxfrve4bfcni,,,
,complete_chain_with_finality_stateroots_latest.car.00000006,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000006,,17180886010,Qmcvp882Vty4W9kNziqFs1fXBFT93r6LcsSuQReDDTkMe7.car,/f1/dataset/f_car1/Qmcvp882Vty4W9kNziqFs1fXBFT93r6LcsSuQReDDTkMe7.car,,Qmcvp882Vty4W9kNziqFs1fXBFT93r6LcsSuQReDDTkMe7.car,34091302912,Qmcvp882Vty4W9kNziqFs1fXBFT93r6LcsSuQReDDTkMe7,baga6ea4seaqklxoeag7adr3vpmxrrxrr442kbxetgr3whclav6ozsyxpmmy4yiq,,,
,complete_chain_with_finality_stateroots_latest.car.00000007,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000007,,17180886010,QmYyeU1SDpTuQ1fsvFxKX45GLSRExDoXw64NKBaFxkERdv.car,/f1/dataset/f_car1/QmYyeU1SDpTuQ1fsvFxKX45GLSRExDoXw64NKBaFxkERdv.car,,QmYyeU1SDpTuQ1fsvFxKX45GLSRExDoXw64NKBaFxkERdv.car,34091302912,QmYyeU1SDpTuQ1fsvFxKX45GLSRExDoXw64NKBaFxkERdv,baga6ea4seaqhkjtbikej4lpzqhh2gsttf4nd5whx3o2eqzv6qlzmeojpsr3akji,,,
,complete_chain_with_finality_stateroots_latest.car.00000008,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000008,,17180886010,QmetdwbUoW5iWo2nU242P7ibRXSC25aPgpvUjrMwWtx3Vg.car,/f1/dataset/f_car1/QmetdwbUoW5iWo2nU242P7ibRXSC25aPgpvUjrMwWtx3Vg.car,,QmetdwbUoW5iWo2nU242P7ibRXSC25aPgpvUjrMwWtx3Vg.car,34091302912,QmetdwbUoW5iWo2nU242P7ibRXSC25aPgpvUjrMwWtx3Vg,baga6ea4seaqjx7xqvwj7ojxgxtwzgnd2jztrjvll5lfqeq2mhwvovqlyfbmbkmy,,,
,complete_chain_with_finality_stateroots_latest.car.00000009,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000009,,17180886010,QmUK83Fh7Btc5iji61nDupwym3yvy1aaRQEQ4tn1G4zDsQ.car,/f1/dataset/f_car1/QmUK83Fh7Btc5iji61nDupwym3yvy1aaRQEQ4tn1G4zDsQ.car,,QmUK83Fh7Btc5iji61nDupwym3yvy1aaRQEQ4tn1G4zDsQ.car,34091302912,QmUK83Fh7Btc5iji61nDupwym3yvy1aaRQEQ4tn1G4zDsQ,baga6ea4seaqhjeql2o7b62xxzr2zsc467m54vnrgqrmqopc3ylmawj7nz7fkoiy,,,
,complete_chain_with_finality_stateroots_latest.car.00000010,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000010,,17180886010,Qmd9sugSVk4KH9nnLs7TvE4A5LE12wG2gLeumqSF3JFZLx.car,/f1/dataset/f_car1/Qmd9sugSVk4KH9nnLs7TvE4A5LE12wG2gLeumqSF3JFZLx.car,,Qmd9sugSVk4KH9nnLs7TvE4A5LE12wG2gLeumqSF3JFZLx.car,34091302912,Qmd9sugSVk4KH9nnLs7TvE4A5LE12wG2gLeumqSF3JFZLx,baga6ea4seaqoyjec7vw2w52ele7abttvmarlazwuxdwh4sj6vk2rfbkipuh6yfa,,,
,complete_chain_with_finality_stateroots_latest.car.00000011,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000011,,17180886010,QmeZsybePrLsoqFHS7MX4H9ykhLZU6cr2awiyewXkJ4Y9P.car,/f1/dataset/f_car1/QmeZsybePrLsoqFHS7MX4H9ykhLZU6cr2awiyewXkJ4Y9P.car,,QmeZsybePrLsoqFHS7MX4H9ykhLZU6cr2awiyewXkJ4Y9P.car,34091302912,QmeZsybePrLsoqFHS7MX4H9ykhLZU6cr2awiyewXkJ4Y9P,baga6ea4seaqozd2dmviek5i5ebdv7hlltytgzycho4mzdvfjkjax3l4ktfsmula,,,
,complete_chain_with_finality_stateroots_latest.car.00000012,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000012,,17180886010,QmeRRwFQGGVN3AqvwQKixBDeRXAVRy4cWdy3nDXjSkQEug.car,/f1/dataset/f_car1/QmeRRwFQGGVN3AqvwQKixBDeRXAVRy4cWdy3nDXjSkQEug.car,,QmeRRwFQGGVN3AqvwQKixBDeRXAVRy4cWdy3nDXjSkQEug.car,34091302912,QmeRRwFQGGVN3AqvwQKixBDeRXAVRy4cWdy3nDXjSkQEug,baga6ea4seaqcpc4e5ak7c5tmltisl2ukgquo4w6diryjvhef6xfuc243ro6veji,,,
,complete_chain_with_finality_stateroots_latest.car.00000013,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000013,,17180886010,QmZ1d1trC6YSXkYkyuR1Y8rxMAeAEtgAVDpfhLHpQAPyHs.car,/f1/dataset/f_car1/QmZ1d1trC6YSXkYkyuR1Y8rxMAeAEtgAVDpfhLHpQAPyHs.car,,QmZ1d1trC6YSXkYkyuR1Y8rxMAeAEtgAVDpfhLHpQAPyHs.car,34091302912,QmZ1d1trC6YSXkYkyuR1Y8rxMAeAEtgAVDpfhLHpQAPyHs,baga6ea4seaqfmhz27ga72bjk4squ6inspu5bljac7v32k53unxgtukpduj3rqaq,,,
,complete_chain_with_finality_stateroots_latest.car.00000014,/f1/dataset/filecoin/complete_chain_with_finality_stateroots_latest.car.00000014,,17180886010,QmSTVn4mAhm3soinftANxDo4PkNn5TDt7LoXn24YW6dat4.car,/f1/dataset/f_car1/QmSTVn4mAhm3soinftANxDo4PkNn5TDt7LoXn24YW6dat4.car,,QmSTVn4mAhm3soinftANxDo4PkNn5TDt7LoXn24YW6dat4.car,34091302912,QmSTVn4mAhm3soinftANxDo4PkNn5TDt7LoXn24YW6dat4,baga6ea4seaqklxrlhr3dz2x6xa2dmvclklrux2mpyc6owiaqnhujzvr53zdmygi,,,
