Uuid,SourceFileName,SourceFilePath,SourceFileMd5,SourceFileSize,CarFileName,CarFilePath,CarFileMd5,CarFileUrl,CarFileSize,PayloadCid,PieceCid,SourceId,Deals/0/DealCid,Deals/0/MinerFid,Deals/0/StartEpoch,Deals/0/Cost,Deals/1/DealCid,Deals/1/MinerFid,Deals/1/StartEpoch,Deals/1/Cost,Deals/2/DealCid,Deals/2/MinerFid,Deals/2/StartEpoch,Deals/2/Cost,Deals/3/DealCid,Deals/3/MinerFid,Deals/3/StartEpoch,Deals/3/Cost,Deals/4/DealCid,Deals/4/MinerFid,Deals/4/StartEpoch,Deals/4/Cost,Deals/5/DealCid,Deals/5/MinerFid,Deals/5/StartEpoch,Deals/5/Cost,Deals/6/DealCid,Deals/6/MinerFid,Deals/6/StartEpoch,Deals/6/Cost,Deals/7/DealCid,Deals/7/MinerFid,Deals/7/StartEpoch,Deals/7/Cost,Deals/8/DealCid,Deals/8/MinerFid,Deals/8/StartEpoch,Deals/8/Cost,Deals/9/DealCid,Deals/9/MinerFid,Deals/9/StartEpoch,Deals/9/Cost,Deals/10/DealCid,Deals/10/MinerFid,Deals/10/StartEpoch,Deals/10/Cost,Deals/11/DealCid,Deals/11/MinerFid,Deals/11/StartEpoch,Deals/11/Cost
3ab9aaf7-42e9-4f36-a18b-efb120b6fc2a,fil-test010,fil-test010,,17180886010,QmfCPh1WyW6FcihriqjFMVA8obwnB1a2zjheZHp6eBknnM.car,QmfCPh1WyW6FcihriqjFMVA8obwnB1a2zjheZHp6eBknnM.car,,https://download.fogmetalabs.com/ipfs/QmajywPy6mLemYDdrK3dgTKtU6wNtgQzfitsKcwecuwSsA,34091302912,QmfCPh1WyW6FcihriqjFMVA8obwnB1a2zjheZHp6eBknnM,baga6ea4seaqdl4v7zw73baola462a7qwsnwhe4urrgl6txgz2pu3czbdglhj2ha,2,bafyreihsl25swfj5mwtcbgm3nrg3o2q7ui33fzjm4ktlczsuxt3zix6khe,f010088,2913785,,bafyreictcon3a4akiwaxamacxhutq5yumiggky3jaw2mtqyc3ojpn5upk4,f01163272,2913785,,bafyreid65gcsotkntuctbszk3uf4pwe6haio4ndfnchfigdqqxrxrfkq6y,f01337533,2913785,,bafyreidhb2zbarkkncrslb2tx2pgu37tz7d4zli5w6yozzgvcpuen5jpe4,f0143858,2913785,,bafyreia2efu2mbd2hpbpor2srgt2p575rm2kch6qxtibfkcsh3u6aum4qy,f01691327,2913785,,bafyreicdlt4awgqwzg2yk3p6fwiomlw7l2xr5cjqldj744isrhzikijoqm,f01862564,2913784,,bafyreifwnsxvwnddjay5c53bpepyfu7a6lykhrfopiq5ymiqlfziv6nf6q,f01862564,2913785,,bafyreieewa3gb26asspun5j2xcxy5ca3jds64wmtyb4zqvd3cx53zdi5a4,f02032191,2913785,,bafyreiedrwih55diu4w6yjaopik4fq373ncft3d6mrpd56omflrx77c3gy,f02301,2913785,,bafyreihojhdjsfyqmsxzolmkzlebadnyj2vshmwx7eqnlxy7v2moxalcxe,f0240185,2913785,,bafyreif5jcciht7kcojlugdtbojqxrfvjh7osxbkyz2h2hirnuusmdjssa,f03223,2913785,,bafyreigkghnibrn4uzor7sjtzyjegwj4btua3qivwbhkr7v54jzru4mt6u,f0717969,2913785,
8a5d15e8-313d-4e22-8791-d0ec7abe08af,fil-test010,fil-test010,,17180886010,QmSku7BfJ8UR5PpZuve2JMRBP3o19T5A9o7x3PjUJePdyr.car,QmSku7BfJ8UR5PpZuve2JMRBP3o19T5A9o7x3PjUJePdyr.car,,https://download.fogmetalabs.com/ipfs/QmeZrYj19UeFcuYWLHKGTwdn8pCRQNP3FH4o3FEJjaRuT4,34091302912,QmSku7BfJ8UR5PpZuve2JMRBP3o19T5A9o7x3PjUJePdyr,baga6ea4seaqmkcqq6irhabi5vlehca5bkj3bdeb6xikahu2ptms2kcehau7geii,2,bafyreielxmfnn7pofvfbxn552fvcdyxad7aan7nanyefc4aatquacsngpi,f010088,2913785,,bafyreiczcllq3ho7s3mi3db37x4xvwgaaqowtuq2jj46ivkow7es7pwovi,f01163272,2913785,,bafyreiawi6d2w5tlmb6ndla2sngpnnyvfcl4upw35e63l2tbypvqsapoku,f01337533,2913785,,bafyreigccj3mgrsd3psa23cfq7e2rk3rhvamnr7swcusc2dhe4x36pqipu,f0143858,2913785,,bafyreiaz76ngms2hqr7ffpqmhyqgf6k7ynrte7q7l2jmgzbkqqrzwnsx5a,f01691327,2913785,,bafyreieeusjqtrahrim7kndg2e2hkp2yg4nd2cdwxstclamys6kcfremna,f01862564,2913785,,bafyreih7m2ynevi6xsva46jsm3hwqk2yrj72zdm3tftsrubdxdj6k4c4vi,f01862564,2913784,,bafyreibzrkbtf32ky6t5fjtaui7kmfzyspqp5nhy6xohqdx2o6vh2hwvsq,f02032191,2913785,,bafyreich56q2pefjnmyqmbotiot6o2jmsk7priljcp4rkrauo5wd5bukwa,f02301,2913785,,bafyreihcuz276vfewicpeom4y6pk2s65mm6rwv4x6y3xosdgmekj4xdi3y,f0240185,2913785,,bafyreifjy7gcd7zfs7nxgltdyfrgy7jwqpahkbh4u3frvbysygb5kmywym,f03223,2913785,,bafyreif5svfywos5ph4llanif52f6jq3w6s6ftmutt7usds6aiykqkbrli,f0717969,2913785,
ecf5674e-df1c-4830-84ca-4910ed08ebb1,fil-test010,fil-test010,,17180886010,QmQ6V6yZW3RUxXW486b4z6BsaFfJnqK5sUCYZZJAWcsx6M.car,QmQ6V6yZW3RUxXW486b4z6BsaFfJnqK5sUCYZZJAWcsx6M.car,,https://download.fogmetalabs.com/ipfs/Qmc5SxhJtFtcmSgxbgAokVVQNiSXaGtDA668gRyduu7Vk6,34091302912,QmQ6V6yZW3RUxXW486b4z6BsaFfJnqK5sUCYZZJAWcsx6M,baga6ea4seaqletrw6m5mlvkzbmwsbi5ess3scdk2jowyckz37zt2oh4jnpz2yhy,2,bafyreia2jexmsos2gfa3ok2dldzfwhwtluvhlqchr5xef5dm5wdhdgreze,f010088,2913785,,bafyreibccyu4voptukwnmqlkp4p364r45g5c5nblcghvypsp47yqat62li,f01163272,2913785,,bafyreiguszkdeklzra34hgf4ecgr3anp7o46tevjbk4suyctfzgnvgab7i,f01337533,2913785,,bafyreid2tvvosxoybkeed4gbmwf6zht34xp7cplm3dt3yqjnweooexaomi,f0143858,2913785,,bafyreibycxhvspckmodq7o5a56umaerygunwf3zsncc6hqy2mobh6k6jw4,f01862564,2913785,,bafyreigvguw5pvts6ytr2q66acawu5kgcepaxy7sxwka3o2443kdyrwiym,f01862564,2913785,,bafyreibjgyxkdrmz5iaet4zelxz2s3vy5cowquimk7xpc43siax3yxq34u,f02032191,2913785,,bafyreidpxbskzi4wfubwie667cdcqbdw3njwne7wsfclk6tdcbnyrvpsyy,f02301,2913785,,bafyreiasb6i7lr3onfcx2limtfxafadtfd2yxjlbysiz6r622epu7li4ce,f0240185,2913785,,bafyreihdlt5sm7iquhwcikywignekyf6zlwc5nyxymyalen22aqtvyobmq,f03223,2913785,,bafyreibotqnmqiiqwyzbx7ie7meeoyzs2yzhnnlw3pm22fwfptcwakwpia,f0717969,2913785,,,,,
70994476-9380-4a2f-ae17-20700157ce69,fil-test010,fil-test010,,17180886010,QmPe4nADugdEj5Ch78dHNdbh6ahuTZuNGpn6r1Nt9KQAGM.car,QmPe4nADugdEj5Ch78dHNdbh6ahuTZuNGpn6r1Nt9KQAGM.car,,https://download.fogmetalabs.com/ipfs/QmUWZxhgjSYdKCR1PURyMe1x4oW5BsBMTwfFqp4uadgRWa,34091302912,QmPe4nADugdEj5Ch78dHNdbh6ahuTZuNGpn6r1Nt9KQAGM,baga6ea4seaqm3ocw2wxjoqrl6vd57qmcl2enx55wjd5j2nvojpa4f63ohap6yay,2,bafyreiernik5p6gyhokfn6fskddjlpocajsejmdeo2fxquxm3ylqo5oi7q,f010088,2913785,,bafyreia6xulalt2cp66rzk7sdmsg5i7mbjfp7ubug5vz32uxsn7w45tbjm,f01163272,2913785,,bafyreibax3vkqggkugnpa5gao4hph2cqhw3r2lbq5psbxrvsojjbi6wzlq,f01337533,2913785,,bafyreibmpp7wdl2q3o7jbxd42kxzollcjb4t6i47zvk2ygdst7nhklrlaq,f01691327,2913785,,bafyreicij7roz64rmvrvk7ronbpuq3m77vonpznxgnadkvky2luriz5ocq,f01862564,2913785,,bafyreidre5ti4pkcyqjqw6enns5osanivm6cd35n5q5acbkk5zrbzpakhe,f01862564,2913784,,bafyreibxo3cuxwnudan4pbulzrolarga7xhzh62sse72e4pxguo7agxszi,f02032191,2913785,,bafyreibzqinbippsh6buq67apgzi7oybgxxw47uh5h7oza3ri5fm5okek4,f02301,2913785,,bafyreid6567habvmesjuiuertiwqzjph54k6vy2nlxjwqbxx45446ur6j4,f03223,2913785,,bafyreiesb3luu3h32bpejcwylrd52ef5wii3tqjdwhpmc2hrpcidwgrvde,f0717969,2913785,,,,,,,,,
cdf334bb-5ec7-43cf-ad58-68e2711fbd68,fil-test010,fil-test010,,17180886010,QmTpLppH1HXzXtaeMbz6KAtfpUqNsrREd2Eqt53xiJBX4x.car,QmTpLppH1HXzXtaeMbz6KAtfpUqNsrREd2Eqt53xiJBX4x.car,,https://download.fogmetalabs.com/ipfs/QmddY3TYhMy5D9jmroB6TEUvV2p3Yw2n8KnFg5faUcjMms,34091302912,QmTpLppH1HXzXtaeMbz6KAtfpUqNsrREd2Eqt53xiJBX4x,baga6ea4seaqgve3vnsechhqca6vuqirtndbq33rnl5lajcsxodt3uhhftwwlcgi,2,bafyreiat64axvpqbjipo3dll7wiqlcyf7r2jiu3ey77aq6wgjhfn3tmmpa,f010088,2913785,,bafyreibiw2nz4icljr3vyyfppxedfeulqqd5ejf555bx2cuais2flh4qci,f01163272,2913785,,bafyreigmluobka56trmf4tqp2bou2woqkblotr7szvcwbzplmtgukgt3be,f01337533,2913785,,bafyreicc6d7oo4mfxbarq2btexilryjfn3p6xdcvbihavyckb2tegfw5ou,f0143858,2913785,,bafyreihwpst6iqv6vadahzaec7vhoctalmqcysm45eln3djrmisxrpemoe,f01691327,2913785,,bafyreifia7sip6bmclfrda7qxopyhvm3gf3r5haiummmp35xpiidam7phi,f01862564,2913785,,bafyreibf3g37jjmei2fm7rmibdogtrmrhuujjacst5v2er37ej3mwexhxi,f02032191,2913785,,bafyreidfnzxcniuxhhsxdk334vzyd57vi5gnuyjv52c6gmclcfkcaelh3e,f02301,2913785,,bafyreie2fpjwsselwocgjzss35r7mwje63wmnkdmybokrbosngy6myx2i4,f0240185,2913785,,bafyreic2qwrcf25wqivywylltchjqhe4gwvdfyyeq4jwqwzs6tygaz4wiy,f03223,2913785,,bafyreifyr3qulzm7ozsyiglzftwpd4du5tknzzgwumbm5v7qs6er3m5oge,f0717969,2913785,,,,,
f39cfdcf-561c-47d6-8b10-eb61149f4892,fil-test010,fil-test010,,17180886010,QmZv6hkTwdZCi2bdRrc6vJa5zZpjBaYovBRAeCiFToCnEd.car,QmZv6hkTwdZCi2bdRrc6vJa5zZpjBaYovBRAeCiFToCnEd.car,,https://download.fogmetalabs.com/ipfs/QmXSXovaAdKQop4CJWRg4NqHYEFQe5TYGgrWCxRT9GidcG,34091302912,QmZv6hkTwdZCi2bdRrc6vJa5zZpjBaYovBRAeCiFToCnEd,baga6ea4seaqejxt2kg7t7gfgxtwx33cvm77ugzlflyeiy2i5udhwysmqir5veeq,2,bafyreigdunwqn5idio77gtw7skbsjd2fpncnvmcfgx23skoujgjnq4s7b4,f010088,2913785,,bafyreibhl2cfm7fv36iixvgwe7zms7m6bxg6ynrbke443zgaxkyomjfroe,f01163272,2913785,,bafyreidhpinpzqfan3om53vucph6p6l35cmsy7a7mgrr5flfa6rjlslbda,f01337533,2913785,,bafyreieajvactfplyalylro2agflscg3wm7pk7nx74clmva5vedkpzvygu,f0143858,2913785,,bafyreifgbaboea4bplujwe4sr4jwvjfiplk7zky67efskiyyzjiujzhpte,f01691327,2913785,,bafyreib3byyyg5wdognmmwpvu5j5iiwozhq63dplb74deraz6v2nryh5cy,f01862564,2913785,,bafyreicv2wu6idk366cnkgitxmaoq52wkrrjoqyy444hfhhpdkosocfdmy,f01862564,2913785,,bafyreiapsflaimlnfzqvqsczwrmnqvchzuntuuk5v7d6txnbxvq7pdvuua,f02032191,2913785,,bafyreihguvkkxyadym53v7v66af4667j5xf4cwssgzlapps762daygtvju,f02301,2913785,,bafyreifyfq35oxnrf3dwiwcmq7h2pvvxfu4tpcjkirnldh5ngemkqrbkiy,f0240185,2913785,,bafyreighlipdi6kr5cvzcmqxwg2emcq35zzk3eypiuhxrqzlfecfovz5ky,f03223,2913785,,bafyreiav7sx7hnh2nonp56qtod6v3mzibk4qkidkux7rdria25h3szyskm,f0717969,2913785,
fc45d17a-77a3-46da-9ada-3a936352d78a,fil-test010,fil-test010,,17180886010,QmPKAzXFSeBBV9N4JMfM313azwdGkXkNuCzRg21joLxoDt.car,QmPKAzXFSeBBV9N4JMfM313azwdGkXkNuCzRg21joLxoDt.car,,https://download.fogmetalabs.com/ipfs/QmRm5p7i8yGycJ68MKUU51e2o5JDPcs5NeZVLjmtvuajFQ,34091302912,QmPKAzXFSeBBV9N4JMfM313azwdGkXkNuCzRg21joLxoDt,baga6ea4seaqag7eaj2kssgq2pha4d7i7ddwrecc2zlrskuxapuppupzwunr5cmq,2,bafyreie7qxo52bek53eifjtm4xqa4z2qc7uiqezlv4qiqeqmacmtauhdha,f010088,2913785,,bafyreidoltisfkisa7ryv5s6cw3h6kbf3my4xx5m5uur3p6x6syaeqmu6i,f01163272,2913785,,bafyreiadwtbwf3si5wam72ffabskf22obn3lpg552wp5uazvinv7rem5pu,f01337533,2913785,,bafyreigijeexr2yf2dtejujzxutrpg77yhagxhb6cstpkms3qiziyrlfnq,f0143858,2913785,,bafyreiah2aujsnymgoj7rxspyiadwor5eombqbame6c5h6d3hl35diqvji,f01691327,2913785,,bafyreifi3dm7jkhyjgoiryhqw2g5ch6xu3trait4pts4jo2lbovoct5rni,f01862564,2913785,,bafyreigdbmwg74it4cbetlbwpag3io4ezyeachrwyinwuvw4ya32oi75t4,f02032191,2913785,,bafyreihq4qdjyhzxofkobldrg6ttf47bosuse2jkb4lbejen6j6dui7b6y,f02301,2913785,,bafyreickybjzzepcscq6eojpmaeu7vt54aa7zvcsunn6tf7uje53wlkc64,f0240185,2913785,,bafyreicym3udpxyopasipik6cab4dm7gacnu2kjvr5ogwaun5dgd7dxzgm,f03223,2913785,,bafyreickdvpohcd44e5pmjaqgp7ktbylho2i4b26ilhchxwhzfrzefy65a,f0717969,2913785,,,,,
0b8e5257-a402-4740-a54c-4170d41b4ec5,fil-test010,fil-test010,,17180886010,QmXDPUxAKAc8RbjrW2JbpNj9KK2EdhmEwY3W3R3VktzBuh.car,QmXDPUxAKAc8RbjrW2JbpNj9KK2EdhmEwY3W3R3VktzBuh.car,,https://download.fogmetalabs.com/ipfs/Qma7hoFYiLAXSXnEdCW24sWRYEhbtnbggNCy8auGcAzM2r,34091302912,QmXDPUxAKAc8RbjrW2JbpNj9KK2EdhmEwY3W3R3VktzBuh,baga6ea4seaqdbyybwdjigprrzp6gutkec2rbcuzidbcidoj43xm7wskamxw6yii,2,bafyreihigaa2gfkwqkf7chle2v54kl6o732cjpnvva23etibp65ucrhrvq,f010088,2913785,,bafyreiefhrchs77c4hqr5sy3y4nocppndrc7dc7o6jawnjsfbmprjym6ke,f01163272,2913785,,bafyreifula32nsfjhqrkyahe27a23h2taeyznqgk4ppzltp4dc46tcbina,f01337533,2913785,,bafyreic6ztbz5i27onb2s7lbn6x7fwjqhuenc2tj3mumiwrvoyswopmwli,f0143858,2913785,,bafyreieiwh3z35zwassvgncuwg42kkekdxtpmrir2pyzrlluxln6elar5a,f01691327,2913785,,bafyreicj73lnclz3wzb3frar2cihv5jfor2bijzmhbwgepu45gzbb6odcq,f01862564,2913785,,bafyreigqsumhftdujsnowilusebidrfzfh22rcchoxuem6ujir7phgkgnq,f01862564,2913785,,bafyreic2gjfvhn55kerpl4czkhhsjc65x4b2cjrwe7k5j7z2v5yuyw4dhm,f02032191,2913785,,bafyreigwepdoj5rky5lh2ksbu2dl6xqdmhwecnzo2yhfoeoamykvfhuk7q,f02301,2913785,,bafyreieuoa2o5kft4ylhkyibqgobxmlvly5a545sz5gytf5wpvowvyw4gi,f0240185,2913785,,bafyreigo6bveiqqbiueilpfzlaodcf32tfo4xfzwjw33ij7kqoe2a6xiry,f0717969,2913785,,,,,
a1e2f67f-a0fa-4056-87bb-2e0350328c19,fil-test010,fil-test010,,17180886010,QmamwfFwFkxWnuDCwNmxj9TAW4Kkxfo3QGD7GvxEKq1YWE.car,QmamwfFwFkxWnuDCwNmxj9TAW4Kkxfo3QGD7GvxEKq1YWE.car,,https://download.fogmetalabs.com/ipfs/QmbGkQnPhNL8UMNjFuMa3v7XxHtQuv24jJ4gBZdiAukXfx,34091302912,QmamwfFwFkxWnuDCwNmxj9TAW4Kkxfo3QGD7GvxEKq1YWE,baga6ea4seaqgya657akyv2wsurwqnjipsba46aibthi2sejsydh6sm24xvoyady,2,bafyreiffawsgq736x6yqskvfvp762dshxnnipyxumnn7xusgn2azxmnowq,f010088,2913785,,bafyreif5xctndeofjfrynmb6x26opanteg5i7s4j4qy4euv25iy7vzrlia,f01163272,2913785,,bafyreidnf5lya7mjqcccefr54krpudqvuebb54jbnnqvmf76xr7dnv6qmu,f01337533,2913785,,bafyreihkid5rjbx72qsu2g4uvrfnfchvrnfuiwmhr26ag3u44ubsm4t6ey,f0143858,2913785,,bafyreifbn5ykddcd57u5mr2wmcgo5usbsfoiyxgtiu5wtzd2gvtmk275rq,f01862564,2913785,,bafyreidnqdcfbpwrtadbnnfciol6uuiaeaovnmkl62tk7cgdsj34uoz6ma,f02032191,2913785,,bafyreihkephrf3twlsrel4ezx4c6ecd4tloy3wk5nhkj7x5wklb63zszte,f02301,2913785,,bafyreidve3h77f6u5rkvoyk43n6ujey5e3tz7sjxo2p6to2gz5cgkj7qxa,f0240185,2913785,,bafyreihdyte5epqxlhjsvqc262hi73mk6n2pmf7ghhkzoqxpptizbe4jga,f03223,2913785,,bafyreihckyymvvw3fdnjc2bazw54jwl3ctr5ru7fmlbtsfjv2mfibo2uou,f0717969,2913785,,,,,,,,,
7a630a2f-6e9c-4796-ab87-60cefd25a5bf,fil-test010,fil-test010,,17180886010,QmTGitGTrPsFKk7pwv9bSH3aogvpqZSUThFrkY7z6NELgs.car,QmTGitGTrPsFKk7pwv9bSH3aogvpqZSUThFrkY7z6NELgs.car,,https://download.fogmetalabs.com/ipfs/QmYXJbfdx5S3qEUNPQPLLj5vKub6WC6e3u9PNF6fFFTGzP,34091302912,QmTGitGTrPsFKk7pwv9bSH3aogvpqZSUThFrkY7z6NELgs,baga6ea4seaqorkszb535ngqqsp4yxkdk3dwwlggxzfdilo5qaunldmqg77pzydq,2,bafyreihbgsh4qvld5loybvem2xwrmq63npqsuzx6jggandc3izeb5djwua,f010088,2913785,,bafyreia2iq2e7c5r4xaeocyrmzvcjb73ejvg7n57c6gqa2m5p36p6zjlfy,f01163272,2913785,,bafyreid25q2bncni7unu6354uilgxevkgxyv3zq4vzqatfz6d2q4742cw4,f01337533,2913785,,bafyreidvcqwfp6u3xvoioelgfl3a24oudlohmqng26qdmavw5kbcfetvsa,f0143858,2913785,,bafyreic6uu7otporwqiml5swwes6wah4t6foaifn3t2ka75htl6ml6e7sy,f01862564,2913784,,bafyreignotwxjkxpyxsjcixbjihtyqqsum4hywnveatn72z7e7glwml6ra,f01862564,2913785,,bafyreietvzdcjza7squdrqlscz6xxyopqiqd64qoh5uuow2dddhd2rxd3i,f02032191,2913785,,bafyreig75mudjjcdtbk47lekbnfriw7bo2xqw3iwtltkywvinhvqkyy6pu,f02301,2913785,,bafyreibctzixewltmmy2ewvtbvdovukiu56rw4x4imiqoimaz2bviozv2q,f0240185,2913785,,bafyreicbesk5z3xhor2yjoky3acjgsmbaswi56p5hma3sdawe5i5d75roa,f03223,2913785,,bafyreig7uobsmrs6xkweksenmu6ycgn445kwna4tyqjju6jdaojrn7ns7a,f0717969,2913785,,,,,
