Uuid,SourceFileName,SourceFilePath,SourceFileMd5,SourceFileSize,CarFileName,CarFilePath,CarFileMd5,CarFileUrl,CarFileSize,PayloadCid,PieceCid,SourceId,Deals/0/DealCid,Deals/0/MinerFid,Deals/0/StartEpoch,Deals/0/Cost,Deals/1/DealCid,Deals/1/MinerFid,Deals/1/StartEpoch,Deals/1/Cost,Deals/2/DealCid,Deals/2/MinerFid,Deals/2/StartEpoch,Deals/2/Cost,Deals/3/DealCid,Deals/3/MinerFid,Deals/3/StartEpoch,Deals/3/Cost,Deals/4/DealCid,Deals/4/MinerFid,Deals/4/StartEpoch,Deals/4/Cost,Deals/5/DealCid,Deals/5/MinerFid,Deals/5/StartEpoch,Deals/5/Cost,Deals/6/DealCid,Deals/6/MinerFid,Deals/6/StartEpoch,Deals/6/Cost,Deals/7/DealCid,Deals/7/MinerFid,Deals/7/StartEpoch,Deals/7/Cost,Deals/8/DealCid,Deals/8/MinerFid,Deals/8/StartEpoch,Deals/8/Cost,Deals/9/DealCid,Deals/9/MinerFid,Deals/9/StartEpoch,Deals/9/Cost,Deals/10/DealCid,Deals/10/MinerFid,Deals/10/StartEpoch,Deals/10/Cost,Deals/11/DealCid,Deals/11/MinerFid,Deals/11/StartEpoch,Deals/11/Cost,Deals/12/DealCid,Deals/12/MinerFid,Deals/12/StartEpoch,Deals/12/Cost,Deals/13/DealCid,Deals/13/MinerFid,Deals/13/StartEpoch,Deals/13/Cost,Deals/14/DealCid,Deals/14/MinerFid,Deals/14/StartEpoch,Deals/14/Cost,Deals/15/DealCid,Deals/15/MinerFid,Deals/15/StartEpoch,Deals/15/Cost,Deals/16/DealCid,Deals/16/MinerFid,Deals/16/StartEpoch,Deals/16/Cost,Deals/17/DealCid,Deals/17/MinerFid,Deals/17/StartEpoch,Deals/17/Cost,Deals/18/DealCid,Deals/18/MinerFid,Deals/18/StartEpoch,Deals/18/Cost,Deals/19/DealCid,Deals/19/MinerFid,Deals/19/StartEpoch,Deals/19/Cost,Deals/20/DealCid,Deals/20/MinerFid,Deals/20/StartEpoch,Deals/20/Cost,Deals/21/DealCid,Deals/21/MinerFid,Deals/21/StartEpoch,Deals/21/Cost
740582bd-2a4c-4494-99ab-cb7297c317a2,fil-test010,fil-test010,,17180886010,QmRmd11fGMSygDemwvifFX5nT1Qo3VdFETvzmRjH7ZEfxa.car,QmRmd11fGMSygDemwvifFX5nT1Qo3VdFETvzmRjH7ZEfxa.car,,http://download2.storefrontiers.cn/ipfs/QmVEuJzRv5ggPtfmSrkARHdUJ5Yf8WVSaLtoeG2z1RZA29,34091302912,QmRmd11fGMSygDemwvifFX5nT1Qo3VdFETvzmRjH7ZEfxa,baga6ea4seaqnvxuqsmred3w6nfpuxzvlzxbs5mzvsshebj4htro7dtm7tdtdcna,2,bafyreiftelhz7tv4xmlpuwjlekbbhnnllsuafjzbs44b6m2dkvl65mvnhu,f01222595,2887395,,bafyreib3wwfbxhav2cta5kyej5ba7tyrxblchjdzxh6uwufvwbhs3emyle,f01225882,2887395,,bafyreigskecdcjztvmj3namveuibf2utx5hxoekczdi2dm4g7md3lup7ka,f0137489,2887395,,bafyreibcxo73jnykjgaidfry4cj6bsgbo453h7ee3cxmejvqstdyndinau,f01398391,2887395,,bafyreiebdyzrhtcxy2sks27ql6zfn6jd5nbkk5w4x73us2na36znut4c4i,f0143858,2887395,,bafyreibpuxtypnldmnvfoqcczgwwizwuvjggsqeott6if2gvssrgt6c52a,f0187709,2887395,,bafyreibkv35bsnpzigkd4uyadxgm5c5ig557wovvlceivbytpx6o6wywzy,f02032191,2887395,,bafyreihaq4axe2l64lqd3vvocv6j6elwhot5ddhnqhm64dpei7xwoig2su,f02186655,2887395,,bafyreiahegr5243knekpb6qd7uhxqe6jbg7glyic2l6d22u366ylkfxuje,f02301,2887395,,bafyreicxmefjxk2wwl6gmfnyfhxrwihijp4dwoqdiyhppndzav4m7we6na,f0240185,2887395,,bafyreibbhvd52ke23i3rbo7qno6uwjwmmxyjrzesoa25aubftygvwyvy7e,f03223,2887395,,bafyreihrfaudi2ser3mupjimqjiwuzyvwnqumgmv7vowaybpqz5jd4rf5e,f0466405,2887395,,bafyreidk6znbe6qzxm5rrzllxzpflqzbwmw3rbxoudpwxfbhtu2uaywzcm,f0717969,2887395,,bafyreibmhillygbzvljk6ro3eeuwobaxlzkawbj7ozughpor4e5fzahrza,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235f5481-10bc-4b85-b430-25ce57e3314b,fil-test010,fil-test010,,17180886145,QmW14a4uyt4eJecWtSk3HKERdNSZG6hXt4L9fPFREoaU81.car,QmW14a4uyt4eJecWtSk3HKERdNSZG6hXt4L9fPFREoaU81.car,,http://download2.storefrontiers.cn/ipfs/QmStTDxNQBjQKR62tA9KJzdA3EUX9oxCzwZvSFPGF3mXeJ,34091302912,QmW14a4uyt4eJecWtSk3HKERdNSZG6hXt4L9fPFREoaU81,baga6ea4seaqerp2hcri7yzjtqcijxmlrdz2ty5flzeqxxyx3nlbqire6ynoryay,2,bafyreideeuwrirq5s2gbg74mxo5e7awtkh4d36wcw7xcpqywvohhtkrlpq,f01222595,2887395,,bafyreifkl5t7kzq6vs3dceou726itimtsm2bsadfpjlyg2umvcn3lrkmzi,f01225882,2887395,,bafyreif3et2f6how7rttvup6upqoozej23zgemdjo3mjr6gtd7f7fwlfg4,f01398391,2887395,,bafyreib6kqcipswg3yv4sqeki3hrm37h6ajgp4xjwqpdtw6yr6pzu2rzs4,f0143858,2887395,,bafyreiclbnm7coggvdoj3abckumo5ztcpyh5b4ctrlg22tacj32k4n4kbe,f0187709,2887395,,bafyreig4m3qonfgrzeel7t5gpbk57ebemkos7oxk3yt5r6vwsktmiudpjq,f02032191,2887395,,bafyreicnte2vkvioyf53rc44syxp62z3itf2xrzawq6cemmxgtlmk7bsyu,f02301,2887395,,bafyreicsj4zym2qmuf2tnahnpuxzbsw6hiwkhdo57g4arpgsl7nha4mebi,f03223,2887395,,bafyreifrkuadgn5xup2qk4o2eqpi4njrtlfxscgw7rezwdossltpv5z3hu,f0466405,2887395,,bafyreibvbstqc33mojvgkpv573dmk6tn5jmuwussc2lxon6wwzf5v2m74i,f0717969,2887395,,bafyreicgx57yru6325kep755rn5vl4zho4epyd654w6heiglbpbefae5hi,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7771d987-4971-44a1-b36d-cbde42f857ac,fil-test010,fil-test010,,17180886010,QmV3eEMzvEN1Tg5WyDZQJzrq1PX6kpyupQMuurAQU7svVz.car,QmV3eEMzvEN1Tg5WyDZQJzrq1PX6kpyupQMuurAQU7svVz.car,,http://download2.storefrontiers.cn/ipfs/QmfPoVmz3cUxrMFDk3XPd2achZHipwdUU6Jy5X8KcxiQ7G,34091302912,QmV3eEMzvEN1Tg5WyDZQJzrq1PX6kpyupQMuurAQU7svVz,baga6ea4seaqbawdvlb4h3glbodb5eoslyduetea2k54dwcr7lezaidyz2jrqiba,2,bafyreibihu7tdjjcxcf2cihlr4ludcij4zarjemfmzb4ybchz637uwnpoq,f01222595,2887395,,bafyreiflwzfqwnn2xedbksgc4wcmqtnuquoori67kfflss3xxtyvdzrgt4,f01225882,2887395,,bafyreichfp3ymbr4es4yep7zdyvjoanbuwstobjddmk2paz5mhocl7fa3i,f01398391,2887395,,bafyreibe7ltmiw6otqefht3hjpaepoqmwb6pi4kzyn5x5ulrbqimjg6yo4,f0143858,2887395,,bafyreihex4l2g5ed4iycohwzoaldtraxtu6cez6j3gpej4dta5j736qzwq,f0187709,2887395,,bafyreide7edvefcz2j4bilnclgangtsfmojpw5bsosymw4fbor5yarehdm,f02032191,2887395,,bafyreibcap7nnf7awczyywot52muorli5hz645dkrhic3zonbsip26sqvi,f02186655,2887395,,bafyreif33ifqxypcdenvkoedrearc3fk2prvzjifuqgg67azlnvf5svfbi,f02301,2887395,,bafyreie5zke76czbozwujvtccp42ngplysqn5mvx3mkbjc5fek25ee3w44,f0240185,2887395,,bafyreihul75xwos67u2aknhspqn3y3cbp5jdydr3cl3hgsbeszlybl37ki,f0466405,2887395,,bafyreidyxzt7oduc6jal44s2ui7bsyl3zhatuvnjaxx5o3ftehorgqka4e,f0717969,2887395,,bafyreibs6h6uybz3wsgp7hwkts63silfbyencw27pd3gevennym2nqmqnq,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9e8c91-c1ba-4bfe-954a-a6cf9e764c1e,fil-test010,fil-test010,,17180886010,QmUwFSyvcWkm5ztyWb3Fziob3quCb7SLACBuGYiZKo1jKE.car,QmUwFSyvcWkm5ztyWb3Fziob3quCb7SLACBuGYiZKo1jKE.car,,http://download2.storefrontiers.cn/ipfs/Qma2KfyCwuVLmSYAQjFfgLrngDGTwq9oERmCNGfaoaPV7z,34091302912,QmUwFSyvcWkm5ztyWb3Fziob3quCb7SLACBuGYiZKo1jKE,baga6ea4seaqeiwgn6uebcwn35tfvaexwijbjeehxxojoxi4euqcq6mqofhrngoi,2,bafyreift5qkcolydje4vmxgnbdpxhcroqmjwtl6zgme4ltnvblegtlvw3y,f01222595,2887395,,bafyreidp35zbp3klqkm7dh432bhzvd5jfww2xvco3p2dkq6rmhwocm2ajq,f01225882,2887395,,bafyreihx6vqwy2druotvaeyl3h7chg3jbhdxnzs3z53g4nxzif5dw63amm,f0143858,2887395,,bafyreiadwhbr7cvpqhj2kqqdegnqx2h6zq3gvm7oablnjlxxm3chsvofea,f0187709,2887395,,bafyreibouiesdvb77yg6spj6mzvcgozj6zrj3uf3pggq6vbhrstzguicqa,f02032191,2887395,,bafyreifm3oulidm5zidnio4m3hxkw3oxzkalv36pxxnymooxycvlk23uju,f02186655,2887395,,bafyreiev46sux76wr5xbcjfsxauf3jsjqg7zewcwcqemrcsent6bbbncpy,f02301,2887395,,bafyreighghtivvgztcg7rdr4uqdq5ry44536aj2lxlnxxbuep7eb6qiohq,f0240185,2887395,,bafyreibsc2gw4stagfx3lb6l7q36r64sd5un7otdgldfxves4bjzo3e7we,f03223,2887395,,bafyreigilrl76ixcny6cggtroi6tq75fme6ryokwjgumaivv6zonjyvotu,f0466405,2887395,,bafyreifitx6a5jyj4dpjopcnw3jakubokppnfryhq77qwbukk7yo7zcbcq,f0717969,2887395,,bafyreie3ris43cvggn5itkf2c4lojydmekcex7n6lxqdoobcxeu2isiy5e,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45b80a10-7c9b-4e64-ad0f-6f4e5df7dc86,fil-test010,fil-test010,,17180886010,Qmb2AjeKvj2o9ycEr2umGWukVFGd6gxnSmPNvRnVJ3zb3R.car,Qmb2AjeKvj2o9ycEr2umGWukVFGd6gxnSmPNvRnVJ3zb3R.car,,http://download2.storefrontiers.cn/ipfs/QmXmVPtkniqX4Z9WZyfsqtvgECJXPKx633VaUR5XN9N6Ex,34091302912,Qmb2AjeKvj2o9ycEr2umGWukVFGd6gxnSmPNvRnVJ3zb3R,baga6ea4seaqmu6sqcpy7dise7exgmyo5fufaix7vyjq64cbjgr6qclzyaxkbmga,2,bafyreids2qqzfjwyet5xtbc6tdajisdzac3l6jm3sqngqda6zje7gixcjy,f01222595,2887395,,bafyreiait7t73naps66rh7mnif2tcea44uh4n3a55xoknyflwjs7tmqf5q,f01225882,2887395,,bafyreigmhqyv4gkr7kusov34b3uo4uki6kix5txgukgr4cnc7ps55lzbhy,f0187709,2887395,,bafyreieb6akq4iqvrvpucwdyp3uaoa7ou6bldzkhjdn7kvuxrz4wwrzrj4,f02032191,2887395,,bafyreiewjpg7gtv2d2nnfmeabcbzlex2uahqpq425bkfamnskygw6movka,f02301,2887395,,bafyreifepjtlrxx2iwvnr3trxlxg7yeglgsu2ok63vu46l35lp5q3dgsoe,f0240185,2887395,,bafyreibucnyowycghvyi5y77flhjez2nmfka2zm2qf7qrvqizmama7q3na,f03223,2887395,,bafyreifok3f2izidva6xggcazmbs45l5xpnfnxqdbkuqyipmmidxb4zyfm,f0466405,2887395,,bafyreierz6rn5nq4ook46ntjz7blymndcyjdhopvvkisuohfzefaxqaeyu,f0717969,2887395,,bafyreigtfloajqflp5ulq2z2g4xgqvt6xmrclkzs54sip3lrmucxktlrla,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f2ac5a0-b287-4622-afd2-506bac124763,fil-test010,fil-test010,,17180886010,QmP5NHGdAfL8WPYK4FBaJP7cTVi6io1MMY8ueAz2ZxK9b1.car,QmP5NHGdAfL8WPYK4FBaJP7cTVi6io1MMY8ueAz2ZxK9b1.car,,http://download2.storefrontiers.cn/ipfs/QmdHdcxaesL9EPSuKebHxMTUCsLJZiJtqa152Sokr4bqFu,34091302912,QmP5NHGdAfL8WPYK4FBaJP7cTVi6io1MMY8ueAz2ZxK9b1,baga6ea4seaqkfnijcad2tzcyhlqybrfgco4szhijajkm5nzlkeqkaz4gd5s6miq,2,bafyreibqrgyyvygtp6kvugx72k2hol4eyuktbgwc3ezblpad4grthvigka,f01222595,2887395,,bafyreibfkvqlcacejenh52jud4hwuie6y3lify5lv6kuls2jrkklmnnstm,f01225882,2887395,,bafyreiednc3pbta74oiiszhnzmanfo6kffb4mc3tsmj33dgmk5fus6msye,f0143858,2887395,,bafyreie2awumbmt6x2cgktyuygv4nuilnud2yoe4hpa3mdbtxw7clixjla,f0187709,2887395,,bafyreictgzzdsnffvp2bg4n62o4wta3ylsafgj53ohzsvjizwlkfpxcwm4,f02032191,2887395,,bafyreiaegokfik6exkuvu7eh4tmiegstgu6ac56nncz4mpyjfm2ahlmhgi,f02301,2887395,,bafyreic3y52llgl2yi7pwr3kg32xlkgn4v3n7mwioktbm4io62y3nakami,f0240185,2887395,,bafyreihd5illevdwrme7wwkrzwjbigracrlopkgk7hafyc6vb3unsnj43i,f03223,2887395,,bafyreigodxt2z6ll5rt7asgobdayoqjplzekk3c6g4fquxquk6bicr7bky,f0466405,2887395,,bafyreicntsillbi44eua5zfgyiibkgieoklwiq64l5szy3lncb2otu2ami,f0717969,2887395,,bafyreihkcsxytskmqtxlfji4aeanp7ow6pyukajzfx6ztxohctu7aq7v3e,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35b73cdc-912e-41d9-8c2b-8b0cdd1701a3,fil-test010,fil-test010,,17180886010,QmdXzNbpEpQcQPnAMSv9S4Frg2uyRd8DLiKD558yD4xmkz.car,QmdXzNbpEpQcQPnAMSv9S4Frg2uyRd8DLiKD558yD4xmkz.car,,http://download2.storefrontiers.cn/ipfs/QmRqopAjyXB1kMKdSrUy91fkH4irVodLSdDe8WZQtgbAGq,34091302912,QmdXzNbpEpQcQPnAMSv9S4Frg2uyRd8DLiKD558yD4xmkz,baga6ea4seaqnu6zvvjebmwjrnlvluk3bkstbqdr4bt3m3hnohvf32zdsxqsqqoy,2,bafyreiboylcpiadq2b42f6qx2q3ckc3t6blu657tgig552yryhce3mecgu,f01222595,2887395,,bafyreiabmdawtyk2knlqu5h7gjaq5gbvaymm6jh3ufqym6o3x2ewp2xbn4,f0143858,2887395,,bafyreih7hpmmqgb6amkfk3ppyumikhahyon4tkz3gmf7aniumwxbilyik4,f0187709,2887395,,bafyreifrwwlha24ny24ad3zmzahxpgpi3c3bw4rhorsmtxn7qupnd5yxku,f02032191,2887395,,bafyreia4vnboi5aiochpdmtrrympnkccna7jfcaqkj643nygo7y4oxgz6a,f02186655,2887395,,bafyreihpreadqotquaw7bkmu6brmwuxp272sviuajvzvmlilvqmk7acfde,f02301,2887395,,bafyreibfsbgzxp5peirl57hz3v2xrvzulr64rrrb5r6cl36vkojdntobxm,f0240185,2887395,,bafyreihfqbgokc4suuy4cqby27dkptdltuyfpf2kzie7frk7tbgwo46qha,f03223,2887395,,bafyreia7c5g7weseobwc5ktjuzuxytq5ftyefoxdfzfnwixdjpawicg22y,f0466405,2887395,,bafyreiafvmv4mu4s5me43fuufbfnkbuvrjfvyquuodbhadlqtjdv4beppi,f0717969,2887395,,bafyreiaky6nwg2233qoey7x2m4q3w6p4vo7gty5htmlsrwhmsi3iy2yov4,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9a7e1ad-e9d9-4f03-a5f8-a87320f15d25,fil-test010,fil-test010,,17180886010,QmdJcVywP8ie2hDFYfEqpKD4VN3iFmqQ44eqvSsTJ8yVtY.car,QmdJcVywP8ie2hDFYfEqpKD4VN3iFmqQ44eqvSsTJ8yVtY.car,,http://download2.storefrontiers.cn/ipfs/QmYuFQMq31rtACNQM4K7PqRCUX2seWsoNf8H6bBxtEEsmN,34091302912,QmdJcVywP8ie2hDFYfEqpKD4VN3iFmqQ44eqvSsTJ8yVtY,baga6ea4seaqpmj7n3ynubpbfdbpm72woiikrtlxqxch5mrwuehmfdybvhsu3ipi,2,bafyreibov233hpckuverrpwkqhx4tkn7t4yb3twsik33swomlz4bkjwpya,f01222595,2887395,,bafyreidsmx34krb6w7wt66kvwud4mj6snqs3h7t2qhg3hbmkpac5lxnzry,f01225882,2887395,,bafyreideuh7ferwptnayfp7jladkel6xx7xxskiogw24tep44ckdb6c56q,f0143858,2887395,,bafyreictat7riyc6ntg5b774nn55gjcclzxzlz647neqcyb4uudjxyc6ai,f0187709,2887395,,bafyreia4squqtoahmkotlsbshm6f2hla5aids7k6fcq4mhnv4blo2z3bpy,f02032191,2887395,,bafyreibqptb5hfp7akq25ys3mghmbmnst5bpewepxa6gp3hts377aov3m4,f02186655,2887395,,bafyreiazf2sklgapfgs6qse2x4yckwwjfnovx5ssxkpaagkhwrcdnwxejy,f02301,2887395,,bafyreigikd43vhos3lq3ke5odqhqrqdrjgbngiz5v5u6ejutupwmo7wadq,f0240185,2887395,,bafyreihfssknmmgnprgpenrbgmn5wr5wtej3yvgix4rqlwetbr5wtv2htm,f03223,2887395,,bafyreickbm5efezj2lly7okavktmj5qk22wsc3lhp3w623eomlifrlcm5q,f0466405,2887395,,bafyreid7vkx73d3ratkbiy4vla2tem3p63myr34x45ozuo3qmtgq37clm4,f0717969,2887395,,bafyreidjbtsysw5kgd5uttsg4pw6xruwjt6lea56k47tsjvd4kjtschpcm,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393f9d6c-f9a4-4db5-90a6-5b993ff8fade,fil-test010,fil-test010,,17180886010,QmSmC3jPQ9ZSg5qZPq7XWDW75oxQjFf89Uhm8S9TRi4mAE.car,QmSmC3jPQ9ZSg5qZPq7XWDW75oxQjFf89Uhm8S9TRi4mAE.car,,http://download2.storefrontiers.cn/ipfs/QmVPrx34DindWgCma1jA2bDbsDy39X6YvTU1AtuGD9ot28,34091302912,QmSmC3jPQ9ZSg5qZPq7XWDW75oxQjFf89Uhm8S9TRi4mAE,baga6ea4seaqkkpgucyf7o2ssapwigs2sxdb53mcyjmitthtvmofcfuay6jhtaai,2,bafyreigvvlx7gk2lz6ghshzamzhrfwow7l7kkompyq6q6ams57pntczwgi,f01222595,2887395,,bafyreidackn2lbvefh63ofus5egi4xtui5fkp2rwrabz4oazscacmlwj5a,f0143858,2887395,,bafyreifkets3gzhq4xuwj3ifbbb2wl6beoydyu2hiiw7xtxlwudjmv2btq,f0187709,2887395,,bafyreig5lkhwujevklb437fe6mqk7xmokdwnqug4mxnhmfzsf3qr2a2l4e,f02032191,2887395,,bafyreib5g4ukvuxghpwonodvn5v5gpia5s5z7ndoz5kkse5cc27e3v2wjm,f02186655,2887395,,bafyreihv7m6f6nz4bemvw5fyfgs4mc3wvpcejwe46lwr7ae5fwfhsqsqtm,f02301,2887395,,bafyreid2psm74d5ute3gx55rap2aqwnagk6jprw3bomk2ms273cgiswoyu,f0240185,2887395,,bafyreigcxnyytwsgc3xocdmk44ziogzch3uq4l2tfmwgwdhpatq3kgnrle,f0466405,2887395,,bafyreibh3kda3vpks3hp3sglycxgj6dekxlzvojpe4brmisff6xc266zpq,f0717969,2887395,,bafyreihzqiawlbbmam2ncnoe2pddjyrwirch272zpliqld7353nxwretku,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070ed7b8-3d21-4411-81c4-85cebe29b7ec,fil-test010,fil-test010,,17180886010,QmU9N8FUp1zdaWrKELyqfnbXfrt93UZzwJrJTTCCMw72gd.car,QmU9N8FUp1zdaWrKELyqfnbXfrt93UZzwJrJTTCCMw72gd.car,,http://download2.storefrontiers.cn/ipfs/QmbmsGj7bGdsnkwx18RQPhojGpGpC6ssEwrtd41Hg5kdb3,34091302912,QmU9N8FUp1zdaWrKELyqfnbXfrt93UZzwJrJTTCCMw72gd,baga6ea4seaqdchhln3fdif4in55aeib3unnijidg24jqt3hwsal2bww4z4fgici,2,bafyreicfqcb5hpzd2l4lltzmron6lqo67vbks4qtix2oj2ulim47hwg4v4,f01222595,2887395,,bafyreiadhlfumm5vtysycgvtdmumz7wojvwspfdag25wv3vb6wdzof5e24,f01225882,2887395,,bafyreiaiqoymre66o2zh4gfgizvc735cj2dkx2c567t4gjx6y3xpnoixtm,f0143858,2887395,,bafyreiegknhzbzftujg3e5z7snk5bw4vhcj5hgwpzp42oyezzmbeyhbdt4,f0187709,2887395,,bafyreieim7cgeofr6z5pmpewtlx6y27enbi23rwhop3gnq2yxgxepdzdv4,f02032191,2887395,,bafyreic7ayxpboicgxzvkfityvwe2t2mzvkaumf3kr4rkzadcoix5o4k24,f02301,2887395,,bafyreiao2ja2wa4ggmwvimucttafhjkzi7s523qoid5pqbbmmmzjuyje2e,f0240185,2887395,,bafyreic3l4o7t5d7rq5akapgwjk77wsac2u56hgu2agpxhlrvfzasi2soi,f03223,2887395,,bafyreif4pkhs6wffpmvmaewzaykwbmi5se4ivexlwjezuvr65rpsminjzi,f0466405,2887395,,bafyreigpphepbccrkboposx7armbkfumeynkwboy4wkm5qwtqa2xenb3vi,f0717969,2887395,,bafyreibuscgzqsipucuxyzvd4feqgxibrsburk22o5at7vlcet3gio5cfe,f08399,2887395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
